ID, Size, Predicted, Actual
1,215,0.003949540785558225,no
2,271,0.003949540785558225,yes
3,458,0.003949540785558225,yes
4,137,0.001982600755323742,yes
5,357,0.003949540785558225,yes
6,1242,0.9996022180203701,yes
7,51,0.003949540785558225,no
8,154,0.003949540785558225,yes
9,31,0.003949540785558225,no
10,928,0.003949540785558225,no
11,180,0.001982600755323742,no
12,260,0.003949540785558225,yes
13,551,0.003949540785558225,yes
14,40,0.003949540785558225,no
15,361,0.003949540785558225,yes
16,388,0.003949540785558225,yes
17,51,0.001982600755323742,no
18,577,0.003949540785558225,no
19,32,0.0013234831293170563,no
20,66,0.003949540785558225,no
21,188,0.003949540785558225,yes
22,582,0.003949540785558225,no
23,158,0.003949540785558225,yes
24,50,0.003949540785558225,no
25,27,0.003949540785558225,no
26,928,0.003949540785558225,yes
27,60,0.003949540785558225,no
28,62,0.003949540785558225,no
29,87,0.003949540785558225,no
30,52,0.003949540785558225,no
31,268,0.003949540785558225,no
32,163,0.003949540785558225,no
33,109,0.003949540785558225,no
34,147,0.001982600755323742,no
35,58,0.003949540785558225,no
36,44,0.003949540785558225,no
37,106,0.003949540785558225,no
38,139,0.003949540785558225,no
39,326,0.003949540785558225,no
40,648,0.003949540785558225,no
41,778,0.003949540785558225,yes
42,314,0.003949540785558225,yes
43,55,0.003949540785558225,no
44,191,0.9996022180203701,no
45,90,0.003949540785558225,no
46,273,0.003949540785558225,no
47,137,0.003949540785558225,no
48,79,0.001982600755323742,no
49,82,0.001982600755323742,no
50,147,0.001982600755323742,no
51,422,0.003949540785558225,no
52,978,0.003949540785558225,yes
53,467,0.003949540785558225,yes
54,189,0.003949540785558225,no
55,153,0.003949540785558225,no
56,84,0.003949540785558225,yes
57,182,0.003949540785558225,no
58,358,0.003949540785558225,no
59,126,0.003949540785558225,no
60,106,0.003949540785558225,no
61,109,0.003949540785558225,no
62,85,0.001982600755323742,no
63,236,0.003949540785558225,no
64,314,0.003949540785558225,yes
65,694,0.003949540785558225,yes
66,27,9.93269634790046E-4,no
67,89,0.003949540785558225,no
68,301,0.003949540785558225,yes
69,153,0.003949540785558225,no
70,92,0.001982600755323742,no
71,466,0.003949540785558225,no
72,93,0.001982600755323742,no
73,244,0.003949540785558225,no
74,192,0.003949540785558225,no
75,250,0.001982600755323742,yes
76,109,0.003949540785558225,no
77,601,0.003949540785558225,no
78,565,0.003949540785558225,yes
79,69,0.003949540785558225,no
80,77,0.003949540785558225,no
81,94,0.001982600755323742,no
82,337,0.003949540785558225,no
83,214,0.001982600755323742,no
84,79,0.001982600755323742,no
85,25,0.001982600755323742,no
86,84,0.001982600755323742,no
87,34,0.001982600755323742,no
88,33,0.001982600755323742,no
89,104,0.001982600755323742,no
90,172,0.001982600755323742,no
91,70,0.003949540785558225,no
92,140,0.001982600755323742,no
93,154,0.001982600755323742,yes
94,248,0.003949540785558225,no
95,275,0.003949540785558225,yes
96,176,0.003949540785558225,no
97,624,0.003949540785558225,yes
98,91,0.003949540785558225,yes
99,58,0.003949540785558225,yes
100,132,0.001982600755323742,no
101,4088,0.003949540785558225,no
102,558,0.003949540785558225,no
103,727,0.003949540785558225,yes
104,150,0.001982600755323742,yes
105,503,0.003949540785558225,yes
106,325,0.003949540785558225,no
107,273,0.003949540785558225,yes
108,136,0.9996022180203701,no
109,56,0.001982600755323742,no
110,74,0.003949540785558225,no
111,357,0.003949540785558225,yes
112,174,0.001982600755323742,no
113,148,0.001982600755323742,no
114,92,0.001982600755323742,no
115,45,0.001982600755323742,no
116,168,0.003949540785558225,no
117,77,0.003949540785558225,no
118,664,0.003949540785558225,yes
119,88,0.003949540785558225,no
120,260,0.003949540785558225,yes
121,54,0.001982600755323742,no
122,48,0.001982600755323742,no
123,140,0.001982600755323742,no
124,152,0.001982600755323742,no
125,39,0.001982600755323742,no
126,131,0.001982600755323742,no
127,47,0.003949540785558225,no
128,129,0.001982600755323742,no
129,43,0.003949540785558225,no
130,243,0.001982600755323742,no
131,62,0.003949540785558225,no
132,45,0.003949540785558225,no
133,94,0.001982600755323742,yes
134,72,0.001982600755323742,no
135,42,9.93269634790046E-4,no
136,48,0.001982600755323742,no
