ID, Size, Predicted, Actual
1,215,0.29221127421408943,no
2,273,0.3750100798322716,yes
3,460,0.3750100798322716,yes
4,138,0.29221127421408943,no
5,358,0.5,no
6,1248,0.6665234207133647,yes
7,51,3.1625353413324392E-6,no
8,157,0.5,no
9,31,3.1625353413324392E-6,no
10,981,0.4999999999999999,yes
11,180,3.1625353413324392E-6,no
12,262,0.3750100798322716,no
13,553,0.6363316523982643,yes
14,40,0.29221127421408943,no
15,369,0.5999742002063982,no
16,390,0.3750100798322716,no
17,51,3.1625353413324392E-6,no
18,577,0.4999999999999999,yes
19,32,3.1625353413324392E-6,no
20,66,0.29221127421408943,no
21,188,0.4999999999999999,yes
22,582,0.533327599552765,yes
23,160,0.3750100798322716,yes
24,50,0.5555475917431192,no
25,27,3.1625353413324392E-6,no
26,923,0.6363316523982643,yes
27,60,3.1625353413324392E-6,no
28,62,0.5,no
29,87,0.29221127421408943,no
30,52,0.29221127421408943,no
31,268,0.5555475917431192,no
32,163,0.29221127421408943,no
33,109,0.3750100798322716,no
34,147,3.1625353413324392E-6,no
35,58,3.1625353413324392E-6,no
36,44,3.1625353413324392E-6,no
37,106,0.3750100798322716,yes
38,139,0.29221127421408943,no
39,326,0.5,no
40,648,0.6363316523982643,no
41,792,0.6363316523982643,yes
42,319,0.6665950128976783,yes
43,55,3.1625353413324392E-6,no
44,191,0.5,no
45,90,0.29221127421408943,no
46,273,0.5,yes
47,137,0.5,no
48,79,0.29221127421408943,no
49,82,3.1625353413324392E-6,no
50,147,0.29221127421408943,no
51,422,0.5,no
52,979,0.6665234207133647,yes
53,495,0.6665234207133647,yes
54,189,0.3750100798322716,no
55,167,0.533327599552765,yes
56,86,0.29221127421408943,no
57,182,0.6665950128976783,yes
58,361,0.6665950128976783,yes
59,126,0.533327599552765,no
60,106,0.5555475917431192,no
61,109,0.5,no
62,85,3.1625353413324392E-6,no
63,236,0.5555475917431192,no
64,315,0.6665950128976783,yes
65,695,0.6665234207133647,yes
66,27,3.1625353413324392E-6,no
67,89,0.29221127421408943,no
68,301,0.5714022480191634,yes
69,153,0.533327599552765,yes
70,92,0.29221127421408943,no
71,466,0.5714022480191634,yes
72,93,0.29221127421408943,no
73,244,3.1625353413324392E-6,no
74,192,0.3750100798322716,yes
75,252,0.29221127421408943,no
76,109,0.29221127421408943,no
77,601,0.3750100798322716,yes
78,565,0.533327599552765,yes
79,69,0.29221127421408943,no
80,77,3.1625353413324392E-6,no
81,94,0.29221127421408943,yes
82,337,3.1625353413324392E-6,no
83,214,3.1625353413324392E-6,no
84,79,3.1625353413324392E-6,no
85,25,3.1625353413324392E-6,no
86,84,3.1625353413324392E-6,no
87,34,3.1625353413324392E-6,no
88,33,3.1625353413324392E-6,no
89,104,3.1625353413324392E-6,no
90,172,3.1625353413324392E-6,no
91,70,3.1625353413324392E-6,no
92,140,3.1625353413324392E-6,no
93,156,0.29221127421408943,no
94,248,0.29221127421408943,no
95,277,0.6665234207133647,yes
96,189,0.5,no
97,194,0.29221127421408943,no
98,346,0.533327599552765,no
99,304,3.1625353413324392E-6,no
100,356,0.6665234207133647,yes
101,84,0.5,no
102,53,0.29221127421408943,no
103,132,0.29221127421408943,no
104,4088,0.29221127421408943,no
105,691,0.6665234207133647,yes
106,47,3.1625353413324392E-6,no
107,101,0.5,no
108,510,0.5714022480191634,yes
109,328,0.5555475917431192,yes
110,273,0.5999742002063982,yes
111,136,0.3750100798322716,no
