ID, Size, Predicted, Actual
1,215,0.039656111265986,no
2,273,0.056647777161307915,yes
3,460,0.056647777161307915,yes
4,138,0.039656111265986,no
5,358,0.09093280262463264,no
6,1248,0.16725012735213649,yes
7,51,2.5785915046665195E-6,no
8,157,0.09093280262463264,no
9,31,2.5785915046665195E-6,no
10,981,0.09106553745114573,yes
11,180,2.5785915046665195E-6,no
12,262,0.056647777161307915,no
13,553,0.14909326753726798,yes
14,40,0.039656111265986,no
15,369,0.1306037526046087,no
16,390,0.056647777161307915,no
17,51,2.5785915046665195E-6,no
18,577,0.09106553745114573,yes
19,32,2.5785915046665195E-6,no
20,66,0.039656111265986,no
21,188,0.09106553745114573,yes
22,582,0.10267128664648174,yes
23,160,0.056647777161307915,yes
24,50,0.11120200955492186,no
25,27,2.5785915046665195E-6,no
26,923,0.14909326753726798,yes
27,60,2.5785915046665195E-6,no
28,62,0.09093280262463264,no
29,87,0.039656111265986,no
30,52,0.039656111265986,no
31,268,0.11120200955492186,no
32,163,0.039656111265986,no
33,109,0.056647777161307915,no
34,147,2.5785915046665195E-6,no
35,58,2.5785915046665195E-6,no
36,44,2.5785915046665195E-6,no
37,106,0.056647777161307915,yes
38,139,0.039656111265986,no
39,326,0.09093280262463264,no
40,648,0.14909326753726798,no
41,792,0.14909326753726798,yes
42,319,0.16695865255282952,yes
43,55,2.5785915046665195E-6,no
44,191,0.09093280262463264,no
45,90,0.039656111265986,no
46,273,0.09093280262463264,yes
47,137,0.09093280262463264,no
48,79,0.039656111265986,no
49,82,2.5785915046665195E-6,no
50,147,0.039656111265986,no
51,422,0.09093280262463264,no
52,979,0.16725012735213649,yes
53,495,0.16725012735213649,yes
54,189,0.056647777161307915,no
55,167,0.10267128664648174,yes
56,86,0.039656111265986,no
57,182,0.16695865255282952,yes
58,361,0.16695865255282952,yes
59,126,0.10267128664648174,no
60,106,0.11120200955492186,no
61,109,0.09093280262463264,no
62,85,2.5785915046665195E-6,no
63,236,0.11120200955492186,no
64,315,0.16695865255282952,yes
65,695,0.16725012735213649,yes
66,27,2.5785915046665195E-6,no
67,89,0.039656111265986,no
68,301,0.11788353738652184,yes
69,153,0.10267128664648174,yes
70,92,0.039656111265986,no
71,466,0.11788353738652184,yes
72,93,0.039656111265986,no
73,244,2.5785915046665195E-6,no
74,192,0.056647777161307915,yes
75,252,0.039656111265986,no
76,109,0.039656111265986,no
77,601,0.056647777161307915,yes
78,565,0.10267128664648174,yes
79,69,0.039656111265986,no
80,77,2.5785915046665195E-6,no
