ID, Size, Predicted, Actual
1,212,0.5327859044542164,no
2,274,0.6856949223230112,no
3,461,0.6856949223230112,no
4,138,0.5327859044542164,no
5,358,0.7424108377108101,no
6,1272,0.9995442114858705,no
7,51,1.073399025353685E-5,no
8,45,1.073399025353685E-5,no
9,157,0.7424108377108101,no
10,31,1.073399025353685E-5,no
11,1406,0.9374002280501711,yes
12,55,1.073399025353685E-5,no
13,204,1.073399025353685E-5,no
14,55,1.073399025353685E-5,no
15,103,1.073399025353685E-5,no
16,34,1.073399025353685E-5,no
17,83,0.5327859044542164,no
18,285,0.6856949223230112,no
19,83,1.073399025353685E-5,no
20,129,1.073399025353685E-5,no
21,867,0.8749144811858609,yes
22,380,0.5327859044542164,no
23,40,0.5327859044542164,no
24,387,0.9165399817573731,yes
25,390,0.6856949223230112,no
26,51,1.073399025353685E-5,no
27,637,0.9374002280501711,yes
28,32,1.073399025353685E-5,no
29,68,0.5327859044542164,no
30,547,0.5327859044542164,yes
31,566,1.073399025353685E-5,no
32,314,0.9374002280501711,no
33,907,0.7499543878854223,yes
34,275,0.6856949223230112,no
35,31,1.073399025353685E-5,no
36,50,0.6841751488381026,no
37,27,1.073399025353685E-5,no
38,175,0.8749144811858609,no
39,50,1.073399025353685E-5,no
40,62,0.7424108377108101,no
41,87,0.5327859044542164,no
42,52,0.5327859044542164,no
43,373,0.6841751488381026,no
44,224,0.5327859044542164,no
45,118,0.6856949223230112,no
46,83,1.073399025353685E-5,no
47,147,1.073399025353685E-5,no
48,58,1.073399025353685E-5,no
49,44,1.073399025353685E-5,no
50,106,0.6856949223230112,no
51,238,1.073399025353685E-5,no
52,43,1.073399025353685E-5,no
53,185,0.6841751488381026,yes
54,189,0.5327859044542164,no
55,151,0.5327859044542164,no
56,364,0.7424108377108101,no
57,910,0.8749144811858609,no
58,889,0.8749144811858609,no
59,43,1.073399025353685E-5,no
60,325,0.9997973246858533,no
61,27,0.5327859044542164,no
62,55,1.073399025353685E-5,no
63,93,1.073399025353685E-5,no
64,191,0.7424108377108101,no
65,90,0.5327859044542164,no
66,89,1.073399025353685E-5,no
67,272,0.7424108377108101,no
68,152,0.7424108377108101,no
69,90,0.5327859044542164,no
70,82,1.073399025353685E-5,no
71,148,0.5327859044542164,no
72,421,0.7424108377108101,yes
73,1190,0.8331306990881459,yes
74,528,0.9995442114858705,yes
75,205,0.6856949223230112,no
76,190,0.7499543878854223,no
77,86,0.5327859044542164,no
78,212,0.9997973246858533,yes
79,404,0.8569567483064096,no
80,572,1.073399025353685E-5,no
81,132,0.7499543878854223,no
82,168,0.6841751488381026,no
83,109,0.7424108377108101,yes
84,85,1.073399025353685E-5,no
85,107,1.073399025353685E-5,no
86,237,0.6841751488381026,no
87,511,0.8569567483064096,yes
88,47,1.073399025353685E-5,no
89,1328,0.9995442114858705,yes
90,27,1.073399025353685E-5,no
91,89,0.5327859044542164,no
92,482,0.9998175848230573,no
93,226,0.7424108377108101,no
94,166,0.7499543878854223,no
95,92,0.5327859044542164,yes
96,476,0.9998175848230573,no
97,93,0.5327859044542164,yes
98,244,1.073399025353685E-5,no
99,204,0.6856949223230112,no
100,252,0.5327859044542164,no
101,119,0.5327859044542164,no
102,733,0.6856949223230112,no
103,630,0.7499543878854223,no
104,69,0.5327859044542164,no
105,77,1.073399025353685E-5,no
106,97,0.5327859044542164,no
107,380,1.073399025353685E-5,no
108,214,1.073399025353685E-5,no
109,38,1.073399025353685E-5,no
110,79,1.073399025353685E-5,no
111,25,1.073399025353685E-5,no
112,84,1.073399025353685E-5,no
113,34,1.073399025353685E-5,no
114,33,1.073399025353685E-5,no
115,104,1.073399025353685E-5,no
