ID, Size, Predicted, Actual
1,215,5.347593582887701E-4,no
2,273,5.347593582887701E-4,yes
3,460,0.0010683760683760685,yes
4,138,3.566333808844508E-4,no
5,358,0.0010683760683760685,no
6,1248,0.0010683760683760685,yes
7,51,5.347593582887701E-4,no
8,157,0.0010683760683760685,no
9,31,5.347593582887701E-4,no
10,981,0.0010683760683760685,yes
11,180,3.566333808844508E-4,no
12,262,0.0010683760683760685,no
13,553,0.0010683760683760685,yes
14,40,5.347593582887701E-4,no
15,369,0.0010683760683760685,no
16,390,0.0010683760683760685,no
17,51,0.0010683760683760685,no
18,577,0.0010683760683760685,yes
19,32,2.1404109589041095E-4,no
20,66,5.347593582887701E-4,no
21,188,0.0010683760683760685,yes
22,582,0.0010683760683760685,yes
23,160,0.5,yes
24,50,0.0010683760683760685,no
25,27,5.347593582887701E-4,no
26,923,0.0010683760683760685,yes
27,60,5.347593582887701E-4,no
28,62,0.5,no
29,87,0.0010683760683760685,no
30,52,0.5,no
31,268,0.0010683760683760685,no
32,163,5.347593582887701E-4,no
33,109,0.0010683760683760685,no
34,147,3.566333808844508E-4,no
35,58,5.347593582887701E-4,no
36,44,5.347593582887701E-4,no
37,106,0.0010683760683760685,yes
38,139,5.347593582887701E-4,no
39,326,0.0010683760683760685,no
40,648,0.0010683760683760685,no
41,792,0.9989316239316239,yes
42,319,0.0010683760683760685,yes
43,55,5.347593582887701E-4,no
44,191,0.0010683760683760685,no
45,90,0.0010683760683760685,no
46,273,0.0010683760683760685,yes
47,137,0.0010683760683760685,no
48,79,0.0010683760683760685,no
49,82,0.0010683760683760685,no
50,147,0.0010683760683760685,no
51,422,0.0010683760683760685,no
52,979,0.0010683760683760685,yes
53,495,0.0010683760683760685,yes
54,189,0.0010683760683760685,no
55,167,0.5,yes
56,86,5.347593582887701E-4,no
57,182,0.0010683760683760685,yes
58,361,0.0010683760683760685,yes
59,126,0.0010683760683760685,no
60,106,0.0010683760683760685,no
61,109,0.0010683760683760685,no
62,85,3.566333808844508E-4,no
63,236,0.0010683760683760685,no
64,315,0.0010683760683760685,yes
65,695,0.0010683760683760685,yes
66,27,1.337971635001338E-4,no
67,89,0.0010683760683760685,no
68,301,0.0010683760683760685,yes
69,153,0.0010683760683760685,yes
70,92,0.0010683760683760685,no
71,466,0.0010683760683760685,yes
72,93,0.0010683760683760685,no
73,244,0.0010683760683760685,no
74,192,0.0010683760683760685,yes
75,252,0.0010683760683760685,no
76,109,0.0010683760683760685,no
77,601,0.0010683760683760685,yes
78,565,0.0010683760683760685,yes
79,69,0.0010683760683760685,no
80,77,0.0010683760683760685,no
81,94,0.0010683760683760685,yes
82,337,0.0010683760683760685,no
83,214,0.0010683760683760685,no
84,79,0.0010683760683760685,no
