ID, Size, Predicted, Actual
1,215,0.0018609709703989463,no
2,274,0.004788083552551832,no
3,461,0.01958704978132667,no
4,138,7.258796056516942E-4,no
5,358,0.0022280155073489344,no
6,1248,1.0,yes
7,51,4.488288154977724E-4,no
8,45,4.4575505604998387E-4,no
9,157,0.0029149674670053975,no
10,31,4.558084169643642E-4,no
11,1008,1.0,yes
12,55,4.858280305661717E-4,no
13,204,0.0021601386619277533,no
14,55,5.217845346930939E-4,no
15,103,5.237230285053099E-4,no
16,83,5.579493127823335E-4,no
17,262,0.12204106036277627,no
18,83,4.510582932337582E-4,no
19,867,0.9999999999254862,yes
20,40,5.085221491256305E-4,no
21,387,0.31358086957993186,yes
22,390,0.013476548589762232,no
23,51,4.732619094329538E-4,no
24,637,0.9999999842391838,yes
25,32,4.558084169643642E-4,no
26,68,5.544175499296183E-4,yes
27,547,0.004120675683482609,yes
28,566,0.27403365925997364,no
29,314,0.9995044366471487,yes
30,839,0.9999999999995399,yes
31,211,0.00598251854576917,yes
32,31,4.558084169643642E-4,no
33,50,0.03807458478317378,no
34,27,4.4420184040165416E-4,no
35,175,0.9997491232308926,no
36,50,4.3674764419101056E-4,no
37,62,0.004737263496293111,no
38,87,0.007835095768408764,no
39,52,5.465487852509085E-4,no
40,373,0.04844682801016115,no
41,224,0.0010183791095813026,no
42,118,0.10727742199520031,yes
43,83,4.898534416635301E-4,no
44,147,4.064251921192149E-4,no
45,58,5.39876751986273E-4,no
46,44,4.5435104496534853E-4,no
47,106,0.03815883587251504,no
48,189,0.0018802191213176998,no
49,151,0.001003333608211297,no
50,352,0.04579456242579539,no
51,849,0.9999999999996638,yes
52,877,0.9999999999999956,yes
53,41,0.0068800732479921455,no
54,319,0.9898949721033335,yes
55,27,5.41763449795186E-4,yes
56,55,4.5684640806183054E-4,no
57,94,0.0036811191513811863,no
58,191,0.0010330991600953638,no
59,90,0.001468276697850164,no
60,90,0.010490153554218718,no
61,271,0.030047585002537548,yes
62,152,0.039911900878742614,no
63,90,0.0011751777711685142,yes
64,82,9.505668017758893E-4,no
65,147,0.002140510720640068,no
66,422,0.14699211597374204,yes
67,1059,1.0,yes
68,530,0.9999944006534158,yes
69,205,0.022327674393476472,yes
70,190,0.07369556797503282,no
71,86,7.289935808281424E-4,no
72,207,0.9989402043132749,no
73,397,0.9999999567185273,no
74,573,0.06709999384384609,no
75,126,0.02148670840346959,no
76,167,0.021060666568324005,yes
77,109,0.002900078694294663,yes
78,85,4.536862427871921E-4,no
79,237,0.9978381426524531,no
80,424,0.9999999999996427,yes
81,47,4.5266918946622634E-4,no
82,1118,1.0,yes
83,27,4.4394656717730894E-4,no
84,89,5.062168433203581E-4,no
85,474,0.9999007879560927,yes
86,166,0.014488368050984106,no
87,92,0.0020502333709087927,no
88,476,0.9882355334667692,yes
89,93,9.887225075826142E-4,no
90,244,0.0028953311367058833,no
91,204,0.0021684727765428546,yes
92,252,0.0021002157017357345,no
93,109,0.0016614313968524687,yes
94,618,0.12891423616941705,yes
95,565,0.933581859415159,yes
96,69,4.953147016595634E-4,no
97,77,4.634797228321918E-4,no
98,97,5.297589828477008E-4,no
99,343,7.41580526069003E-4,no
100,214,4.6303998594626685E-4,no
101,79,4.561835741554357E-4,no
102,25,4.622465790149011E-4,no
103,84,4.510582932337582E-4,no
104,34,4.603960174913857E-4,no
105,33,4.8003353094912244E-4,no
106,104,4.4778862788341043E-4,no
107,172,5.545214794633152E-4,no
108,70,4.598772023037241E-4,no
109,140,4.66300667635159E-4,no
110,156,8.595656512234774E-4,no
111,142,6.744475719359409E-4,no
112,152,5.616366122797833E-4,no
113,31,4.603960174913857E-4,no
114,60,5.383576096586028E-4,no
115,60,5.914020326023206E-4,no
116,876,0.016191316654442362,no
117,61,4.858280305661717E-4,no
118,185,5.211858519678541E-4,no
119,264,0.0010517130976502747,no
120,43,6.340417420627267E-4,no
121,248,6.463812088958505E-4,no
122,310,0.998246285876421,no
123,199,0.15394198252897712,no
124,194,0.0123200119129558,no
125,346,0.1744616505243385,no
126,90,0.0014039074140065196,no
127,335,0.9461861286492912,yes
