ID, Size, Predicted, Actual
1,215,0.01820552388965354,no
2,274,0.04560405216336745,no
3,461,0.16543514759509056,no
4,138,0.007182408962949317,no
5,358,0.02172200113509927,no
6,1248,1.0,yes
7,51,0.00445417488687448,no
8,45,0.004423724987095639,no
9,157,0.028216384117927377,no
10,31,0.0045230572913728204,no
11,1008,1.0,yes
12,55,0.004819398867414055,no
13,204,0.02746148018669166,no
14,55,0.005173607749734065,no
15,103,0.005192814173488023,no
16,83,0.005531320517927094,no
17,262,0.5785759549077399,no
18,83,0.004476258112269969,no
19,867,0.9999999999923156,yes
20,40,0.00504378848079384,no
21,387,0.8192031364411749,yes
22,390,0.11926866110667156,no
23,51,0.0046952873917925145,no
24,637,0.9999999983698644,yes
25,32,0.0045230572913728204,no
26,68,0.005496460785414813,yes
27,547,0.03949842661210821,yes
28,566,0.788227945828315,no
29,314,0.9999496593238572,yes
30,839,0.9999999999999515,yes
31,211,0.0571947406043053,yes
32,31,0.0045230572913728204,no
33,50,0.28210404212365936,no
34,27,0.004408278120518742,no
35,175,0.9999747114057855,no
36,50,0.004334653012876797,no
37,62,0.045105681561967814,no
38,87,0.07261281596138941,no
39,52,0.005418810452758149,no
40,373,0.33539640498022105,no
41,224,0.010046438141806592,no
42,118,0.5425366787916206,yes
43,83,0.004859192210910771,no
44,147,0.004035101659323456,no
45,58,0.005352112061255408,no
46,44,0.0045086376674034565,no
47,106,0.281859288634798,no
48,189,0.01838991195178363,no
49,151,0.009899299641381424,no
50,352,0.3218966888230224,no
51,849,0.9999999999999653,yes
52,877,0.9999999999999996,yes
53,41,0.06427351187600888,no
54,319,0.9989664440313567,yes
55,27,0.005371494294411167,yes
56,55,0.004533383896227901,no
57,94,0.035369740010462114,no
58,191,0.010190659980527197,no
59,90,0.014413728015283197,no
60,90,0.09501246035152894,no
61,271,0.23456543944063019,yes
62,152,0.29181130824061674,no
63,90,0.011572681725234598,yes
64,82,0.009379428628673808,no
65,147,0.020875954304242637,no
66,422,0.629859950152955,yes
67,1059,1.0,yes
68,530,0.9999994349919833,yes
69,205,0.18474889541729037,yes
70,190,0.4413725853527132,no
71,86,0.007212983343005543,no
72,207,0.9998924712243064,no
73,397,0.9999999956062381,no
74,573,0.41562710397573555,no
75,126,0.17924513705591044,no
76,167,0.17604275085300453,yes
77,109,0.028091714916816234,yes
78,85,0.004502231992990755,no
79,237,0.9997784403897467,no
80,424,0.9999999999999628,yes
81,47,0.004492032139598747,no
82,1118,1.0,yes
83,27,0.004405735291356808,no
84,89,0.005021026979640512,no
85,474,0.9999899392802301,yes
86,166,0.12756244221440055,no
87,92,0.02001157556091444,no
88,476,0.9988023296579924,yes
89,93,0.00975686234126474,no
90,244,0.028030694275718585,no
91,204,0.021166686493775254,yes
92,252,0.020501808204129654,no
93,109,0.016282054112071145,yes
94,618,0.5948999961370957,yes
95,565,0.9928316647754252,yes
96,69,0.0049134025573507895,no
97,77,0.004598968856451876,no
98,97,0.005253529546938454,no
99,343,0.0073396034044849465,no
100,214,0.004594879014729003,no
101,79,0.004526898170103906,no
