ID, Size, Predicted, Actual
1,215,0.23035047926482263,no
2,271,0.4231257063070142,yes
3,458,0.468793276288778,yes
4,137,0.09119070563342405,yes
5,357,0.22653650830963165,yes
6,1242,1.0,yes
7,51,0.023011597945830672,no
8,154,0.11696731997621888,yes
9,31,0.02082005910691668,no
10,928,0.9999999999999101,no
11,180,0.21984409387538573,no
12,260,0.9030553816300555,yes
13,551,0.999999279338054,yes
14,40,0.014333659599329616,no
15,361,0.9036608965846501,yes
16,388,0.6239597002009555,yes
17,51,0.031685495464115275,no
18,577,0.999999335252722,no
19,32,0.02082005910691668,no
20,66,0.050983401211863934,no
21,188,0.999685096952587,yes
22,582,0.9999999979028943,no
23,158,0.4798501385813976,yes
24,50,0.29120159811422225,no
25,27,0.03474722681425274,no
26,928,0.9535717858838187,yes
27,60,0.00719524888084916,no
28,62,0.28360955591086967,no
29,87,0.34377062815320053,no
30,52,0.03367436112943383,no
31,268,0.7722941058904681,no
32,163,0.027367843086132517,no
33,109,0.8385219494372271,no
34,147,1.4690959683378784E-15,no
35,58,0.026675861749969675,no
36,44,0.02802220616190174,no
37,106,0.6882169104176205,no
38,139,0.054064966222480304,no
39,326,0.8394439922278366,no
40,648,0.9999999930484492,no
41,778,0.9999999626676851,yes
42,314,0.9882568832187207,yes
43,55,0.02802220616190174,no
44,191,0.10850434959203209,no
45,90,0.12957776331629256,no
46,273,0.7453074880326066,no
47,137,0.7478357317925787,no
48,79,0.09015459107063682,no
49,82,0.07427462180605877,no
50,147,0.20376021433207744,no
51,422,0.925175378366989,no
52,978,1.0,yes
53,467,0.9998773441321749,yes
54,189,0.6574318005180589,no
55,153,0.7804673443165101,no
56,84,0.06571553084462155,yes
57,182,0.9991084278958815,no
58,358,0.9999934473918362,no
59,126,0.444214010794879,no
60,106,0.6465449768331818,no
61,109,0.08578637793867203,no
62,85,0.002574825629017701,no
63,236,0.9992098898515083,no
64,314,0.999999981765389,yes
65,694,0.9999999999999974,yes
66,27,0.005418560084564337,no
67,89,0.002654546980422584,no
68,301,0.9998665918187525,yes
69,153,0.45037994027366646,no
70,92,0.11276923168993518,no
71,466,0.9580480955853493,no
72,93,0.050668726064531856,no
73,244,0.27400671367712975,no
74,192,0.20676066476642405,no
75,250,0.17402699901232374,yes
76,109,0.13856352374623485,no
77,601,0.09902187344852671,no
78,565,0.9818955223289976,yes
79,69,6.265158554100542E-4,no
80,77,0.017965164179414787,no
81,94,0.037229819521353964,no
82,337,9.356572240969248E-12,no
83,214,1.3640668170203171E-75,no
84,79,0.007964292424645603,no
85,25,0.0252143062463784,no
86,84,0.002574825629017701,no
87,34,0.02802220616190174,no
88,33,0.02852129535785516,no
89,104,8.0416471616135E-4,no
90,172,2.2102413204776712E-4,no
91,70,0.017965164179414787,no
92,140,9.550516204003039E-4,no
93,154,0.08628175546223418,yes
94,248,3.2031980583643746E-6,no
95,275,0.9986550968618737,yes
96,176,0.8392974112781831,no
97,624,0.9999999741780579,yes
98,91,0.03499307774163939,yes
99,58,0.008209508171090476,yes
100,132,0.2483906014650668,no
101,4088,1.6055369485227506E-78,no
102,558,1.3970303711376516E-4,no
103,727,1.0,yes
104,150,0.01609902129637175,yes
105,503,0.9999149144038472,yes
106,325,0.8662579430128556,no
