ID, Size, Predicted, Actual
1,212,0.08395430994671615,no
2,274,0.12835749549792821,no
3,461,0.12835749549792821,no
4,138,0.08395430994671615,no
5,358,0.09860052068845479,no
6,1272,1.0,no
7,51,0.0797076149238886,no
8,45,0.0797076149238886,no
9,157,0.09860052068845479,no
10,31,0.0797076149238886,no
11,1406,0.9166003669234494,yes
12,55,0.0797076149238886,no
13,204,0.0797076149238886,no
14,55,0.0797076149238886,no
15,103,0.0797076149238886,no
16,34,0.0797076149238886,no
17,83,0.08395430994671615,no
18,285,0.12835749549792821,no
19,83,0.0797076149238886,no
20,129,0.0797076149238886,no
21,867,0.9995390427139113,yes
22,380,0.08395430994671615,no
23,40,0.08395430994671615,no
24,387,0.7985330267058183,yes
25,390,0.12835749549792821,no
26,51,0.0797076149238886,no
27,637,0.9166003669234494,yes
28,32,0.0797076149238886,no
29,68,0.08395430994671615,no
30,547,0.08395430994671615,yes
31,566,0.0797076149238886,no
32,314,0.9166003669234494,no
33,907,0.6172150011541725,yes
34,275,0.12835749549792821,no
35,31,0.0797076149238886,no
36,50,0.18274601225359588,no
37,27,0.0797076149238886,no
38,175,0.9995390427139113,no
39,50,0.0797076149238886,no
40,62,0.09860052068845479,no
41,87,0.08395430994671615,no
42,52,0.08395430994671615,no
43,373,0.18274601225359588,no
44,224,0.08395430994671615,no
45,118,0.12835749549792821,no
46,83,0.0797076149238886,no
47,147,0.0797076149238886,no
48,58,0.0797076149238886,no
49,44,0.0797076149238886,no
50,106,0.12835749549792821,no
51,238,0.0797076149238886,no
52,43,0.0797076149238886,no
53,185,0.18274601225359588,yes
54,189,0.08395430994671615,no
55,151,0.08395430994671615,no
56,364,0.09860052068845479,no
57,910,0.9995390427139113,no
58,889,0.9995390427139113,no
59,43,0.0797076149238886,no
60,325,0.9717333302847099,no
61,27,0.08395430994671615,no
62,55,0.0797076149238886,no
63,93,0.0797076149238886,no
64,191,0.09860052068845479,no
65,90,0.08395430994671615,no
66,89,0.0797076149238886,no
67,272,0.09860052068845479,no
68,152,0.09860052068845479,no
69,90,0.08395430994671615,no
70,82,0.0797076149238886,no
71,148,0.08395430994671615,no
72,421,0.09860052068845479,yes
73,1190,1.0,yes
74,528,0.9999089829524832,yes
75,205,0.12835749549792821,no
76,190,0.6172150011541725,no
77,86,0.08395430994671615,no
78,212,0.9717333302847099,yes
79,404,0.9999975307676744,no
80,572,0.0797076149238886,no
81,132,0.6172150011541725,no
82,168,0.18274601225359588,no
83,109,0.09860052068845479,yes
84,85,0.0797076149238886,no
85,107,0.0797076149238886,no
86,237,0.18274601225359588,no
87,511,0.9999975307676744,yes
88,47,0.0797076149238886,no
89,1328,0.9999999955390784,yes
90,27,0.0797076149238886,no
91,89,0.08395430994671615,no
92,482,0.9979332864702232,no
93,226,0.09860052068845479,no
94,166,0.6172150011541725,no
95,92,0.08395430994671615,yes
96,476,0.9979332864702232,no
97,93,0.08395430994671615,yes
98,244,0.0797076149238886,no
99,204,0.12835749549792821,no
100,252,0.08395430994671615,no
101,119,0.08395430994671615,no
102,733,0.12835749549792821,no
103,630,0.6172150011541725,no
104,69,0.08395430994671615,no
105,77,0.0797076149238886,no
106,97,0.08395430994671615,no
107,380,0.0797076149238886,no
108,214,0.0797076149238886,no
109,38,0.0797076149238886,no
110,79,0.0797076149238886,no
111,25,0.0797076149238886,no
112,84,0.0797076149238886,no
113,34,0.0797076149238886,no
114,33,0.0797076149238886,no
115,104,0.0797076149238886,no
116,193,0.0797076149238886,no
117,70,0.0797076149238886,no
118,140,0.0797076149238886,no
119,22,0.0797076149238886,no
120,156,0.08395430994671615,no
121,142,0.0797076149238886,no
122,100,0.08395430994671615,yes
123,152,0.0797076149238886,no
124,31,0.0797076149238886,no
125,60,0.0797076149238886,no
126,60,0.0797076149238886,no
127,876,0.0797076149238886,no
128,61,0.0797076149238886,no
129,185,0.0797076149238886,no
130,264,0.0797076149238886,no
131,43,0.0797076149238886,no
132,248,0.08395430994671615,no
133,361,0.9918235589270806,yes
134,199,0.09860052068845479,yes
135,194,0.08395430994671615,yes
136,346,0.6172150011541725,yes
137,91,0.0797076149238886,no
138,335,0.12835749549792821,yes
139,370,0.9999996606630511,no
140,82,0.09860052068845479,no
141,53,0.08395430994671615,no
142,148,0.08395430994671615,no
143,4088,0.08395430994671615,no
144,88,0.0797076149238886,no
145,878,1.0,yes
146,37,0.0797076149238886,no
147,48,0.0797076149238886,no
148,47,0.0797076149238886,no
149,101,0.09860052068845479,no
150,556,0.9979332864702232,no
151,360,0.18274601225359588,no
152,284,0.7985330267058183,yes
153,135,0.12835749549792821,no
154,56,0.0797076149238886,no
155,78,0.08395430994671615,no
156,409,0.9166003669234494,yes
157,174,0.0797076149238886,no
158,148,0.0797076149238886,no
159,88,0.08395430994671615,no
160,45,0.08395430994671615,yes
161,39,0.0797076149238886,no
162,182,0.09860052068845479,no
163,77,0.0797076149238886,no
164,666,0.08395430994671615,no
165,104,0.08395430994671615,no
166,263,0.7985330267058183,no
167,54,0.0797076149238886,no
168,76,0.09860052068845479,no
169,119,0.0797076149238886,no
170,200,0.12835749549792821,no
171,152,0.0797076149238886,no
172,39,0.0797076149238886,no
173,677,0.0797076149238886,no
174,131,0.0797076149238886,no
175,47,0.0797076149238886,no
176,100,0.08395430994671615,no
177,43,0.0797076149238886,no
178,73,0.08395430994671615,no
179,257,0.09860052068845479,no
