ID, Size, Predicted, Actual
1,215,0.009986110084206816,no
2,273,0.039562794999984094,no
3,460,0.1255533177043227,yes
4,138,0.0044767753992834515,no
5,358,0.015226069948142915,no
6,1154,1.0,yes
7,51,0.0026116072497575434,no
8,157,0.01734778870563514,no
9,31,0.002468558770048319,no
10,1009,1.0,yes
11,193,0.016000596454995058,no
12,83,0.003117394186176577,yes
13,262,0.4333089850783928,no
14,638,0.9999999999266234,no
15,40,0.0026602292331579487,no
16,374,0.7472588212572409,no
17,390,0.09167018652777796,no
18,51,0.0027386812759312585,no
19,579,0.9999999838986523,yes
20,32,0.002468558770048319,no
21,66,0.003039702372346907,no
22,260,0.9998396015268197,no
23,596,0.9999999999992686,no
24,198,0.04603528473651836,no
25,50,0.16341813167716263,no
26,27,0.0024478728762180866,no
27,926,0.9998862856069768,no
28,60,0.0024852961762040476,no
29,62,0.03314863023169233,no
30,87,0.03977286840086344,no
31,52,0.0030305891677258026,no
32,297,0.19425301178440865,no
33,163,0.005656762498595467,no
34,118,0.4336401181794591,no
35,83,0.0028403373160183366,no
36,147,0.002381409713020423,no
37,58,0.0030386341637093557,no
38,44,0.002556478440860669,no
39,106,0.17226628078503595,no
40,192,0.009985692832370914,no
41,151,0.0056950276602244125,no
42,352,0.24674953662957977,no
43,752,0.9999999999996055,yes
44,877,0.9999999999999883,yes
45,319,0.9942919039015051,no
46,27,0.002893599319979215,no
47,55,0.00264481522237827,no
48,94,0.021363279049966908,no
49,191,0.007560325151666469,no
50,90,0.0070640223931066415,no
51,90,0.053579274438716074,no
52,271,0.18544047615616918,no
53,138,0.20223753908611294,no
54,79,0.006258473395585456,no
55,82,0.005319515405362902,no
56,147,0.012496733311610874,no
57,422,0.5302435051010843,no
58,1026,1.0,yes
59,530,0.9999947809444614,no
60,189,0.1438661316620704,yes
61,167,0.4246736077235145,yes
62,86,0.004217455173177404,no
63,195,0.9994079111349161,yes
64,374,0.999999984266812,no
65,573,0.29369184512185087,no
66,126,0.1665818421985115,no
67,106,0.10616124122331172,yes
68,109,0.01996238569380241,no
69,85,0.00264948924180792,no
70,237,0.9992483310413477,no
71,345,0.9999999999998419,no
72,47,0.00261941206702779,no
73,781,1.0,yes
74,27,0.0023901154510917537,no
75,89,0.002786685962293848,no
76,300,0.9999769569767734,yes
77,166,0.12628064157153437,no
78,92,0.011558937447686464,no
79,497,0.9970553949261873,yes
80,93,0.005237203313518931,no
81,244,0.015616286281806484,no
82,183,0.013879184950721447,yes
83,252,0.013191365783044615,no
84,109,0.008255528055389658,yes
85,607,0.5362513300112863,yes
86,565,0.9909245927824754,yes
87,69,0.0026495847897317413,no
88,77,0.002719000452691648,no
89,97,0.0029984522383884778,no
90,343,0.004627802630156857,no
91,214,0.0027327081374231483,no
92,79,0.0026703044166337285,no
93,25,0.00256726837648175,no
94,84,0.0026376629730712376,no
95,34,0.0025601997511320203,no
96,33,0.00266860145522392,no
97,104,0.002698014592401148,no
98,172,0.0033696349142031926,no
99,70,0.0025991256750057413,no
100,140,0.002878356229587563,no
101,156,0.004924862484135527,no
102,142,0.004275722300973925,no
103,152,0.0033221843239248585,no
104,31,0.0025601997511320203,no
105,60,0.0032198587227941955,no
106,60,0.0035423110948853117,no
107,876,0.07467714263500175,no
108,61,0.002795235485614914,no
109,185,0.0031657868416093576,no
110,264,0.006335257364288229,no
111,248,0.003824726660549012,no
112,286,0.9997595203383983,yes
113,185,0.4914591244698851,no
114,194,0.06293391604916906,no
115,346,0.6087708400542318,no
116,309,0.009299062070977172,no
117,363,0.9999999999848033,yes
118,84,0.0037525860182729873,no
119,53,0.0027024895178260782,no
120,132,0.019174609222736616,yes
121,4088,0.999997776770613,no
122,721,1.0,yes
123,47,0.003026153759136174,no
124,101,0.003952316141193269,no
125,517,0.9999999999761522,yes
126,327,0.3388537990418807,yes
127,274,0.7668420114622613,yes
128,136,0.010175963414301017,yes
129,56,0.00276180090852453,no
130,74,0.0036774829563233605,yes
131,361,0.999908105316953,yes
132,174,0.0032604973833553906,no
133,148,0.003399816091292679,no
134,92,0.04526108585110543,no
135,45,0.007927806675810842,no
136,168,0.01445527160131788,no
137,77,0.0030914051340177958,no
138,666,0.025839716467089182,no
139,88,0.003923086809673857,no
140,263,0.9997805313743804,no
141,54,0.0027321493787628662,no
142,51,0.0049825353303651135,no
143,132,0.003521970146031191,no
144,160,0.016366277147199185,no
