ID, Size, Predicted, Actual
1,215,0.18833333333333335,no
2,273,0.6454642857142857,no
3,460,0.62,yes
4,138,0.5740714285714286,no
5,358,0.71,no
6,1154,0.99,yes
7,51,0.0,no
8,157,0.71,no
9,31,0.0,no
10,1009,0.48,yes
11,193,0.01,no
12,83,0.8836309523809524,yes
13,262,0.62,no
14,638,0.6991666666666666,no
15,40,0.12,no
16,374,0.7,no
17,390,0.68,no
18,51,0.008,no
19,579,0.41,yes
20,32,0.0,no
21,66,0.18666666666666665,no
22,260,0.8812420634920635,no
23,596,0.45,no
24,198,0.63,no
25,50,0.43,no
26,27,0.01,no
27,926,0.98,no
28,60,0.0,no
29,62,0.858047619047619,no
30,87,0.5,no
31,52,0.8620591630591631,no
32,297,0.32666666666666666,no
33,163,0.32,no
34,118,0.29,no
35,83,0.018333333333333333,no
36,147,0.0,no
37,58,0.008,no
38,44,0.0,no
39,106,0.21,no
40,192,0.39,no
41,151,0.4075,no
42,352,0.18,no
43,752,0.61,yes
44,877,0.95,yes
45,319,0.74,no
46,27,0.3572575757575758,no
47,55,0.0,no
48,94,0.03,no
49,191,0.4,no
50,90,0.45,no
51,90,0.06,no
52,271,0.16,no
53,138,0.45,no
54,79,0.16899999999999998,no
55,82,0.01,no
56,147,0.20333333333333334,no
57,422,0.27,no
58,1026,0.69,yes
59,530,1.0,no
60,189,0.14666666666666664,yes
61,167,0.9983333333333333,yes
62,86,0.5572420634920635,no
63,195,0.59,yes
64,374,0.99,no
65,573,0.13,no
66,126,0.58,no
67,106,0.4,yes
68,109,0.28,no
69,85,0.0,no
70,237,0.5666666666666668,no
71,345,0.6579999999999999,no
72,47,0.0,no
73,781,0.71,yes
74,27,0.0,no
75,89,0.34,no
76,300,0.9018650793650793,yes
77,166,0.96,no
78,92,0.08690476190476189,no
79,497,1.0,yes
80,93,0.14797619047619048,no
81,244,0.01,no
82,183,0.28,yes
83,252,0.74,no
84,109,0.05,yes
85,607,0.368,yes
86,565,0.8843809523809524,yes
87,69,0.37790476190476185,no
88,77,0.0,no
89,97,0.3433690476190477,no
90,343,0.0,no
91,214,0.01,no
92,79,0.006666666666666665,no
93,25,0.0,no
94,84,0.0,no
95,34,0.01,no
96,33,0.01,no
97,104,0.01,no
98,172,0.01,no
99,70,0.0,no
100,140,0.0,no
101,156,0.61,no
102,142,0.018000000000000002,no
103,152,0.0,no
104,31,0.0,no
105,60,0.03,no
106,60,0.04,no
107,876,0.12714285714285714,no
108,61,0.02,no
109,185,0.0,no
110,264,0.01,no
111,248,0.47,no
112,286,0.71,yes
113,185,0.47,no
114,194,0.3875,no
115,346,0.408,no
116,309,0.02,no
117,363,0.7,yes
118,84,0.618,no
119,53,0.7191547619047619,no
120,132,0.076,yes
121,4088,0.3375,no
122,721,1.0,yes
123,47,0.02,no
124,101,0.7074242424242424,no
125,517,0.67,yes
126,327,0.24,yes
127,274,0.348,yes
128,136,0.40333333333333327,yes
129,56,0.02,no
130,74,0.3383333333333333,yes
131,361,0.66,yes
132,174,0.0,no
133,148,0.0,no
134,92,0.21,no
135,45,0.18166666666666664,no
136,168,0.3796666666666667,no
137,77,0.0,no
138,666,0.6118650793650793,no
139,88,0.12,no
140,263,0.69,no
141,54,0.0,no
142,51,0.40638888888888886,no
143,132,0.01,no
144,160,0.5,no
145,152,0.01,no
