ID, Size, Predicted, Actual
1,212,0.17269216099643767,no
2,274,0.2962916244943649,no
3,461,0.2962916244943649,no
4,138,0.17269216099643767,no
5,358,0.3322513924492622,no
6,1272,0.6717412864912866,no
7,51,0.0,no
8,45,0.0,no
9,157,0.3322513924492622,no
10,31,0.0,no
11,1406,0.6034415456579196,yes
12,55,0.0,no
13,204,0.0,no
14,55,0.0,no
15,103,0.0,no
16,34,0.0,no
17,83,0.17269216099643767,no
18,285,0.2962916244943649,no
19,83,0.0,no
20,129,0.0,no
21,867,0.5935911417860731,yes
22,380,0.17269216099643767,no
23,40,0.17269216099643767,no
24,387,0.5011671376619359,yes
25,390,0.2962916244943649,no
26,51,0.0,no
27,637,0.6034415456579196,yes
28,32,0.0,no
29,68,0.17269216099643767,no
30,547,0.17269216099643767,yes
31,566,0.0,no
32,314,0.6034415456579196,no
33,907,0.4569561007438173,yes
34,275,0.2962916244943649,no
35,31,0.0,no
36,50,0.30004120511992205,no
37,27,0.0,no
38,175,0.5935911417860731,no
39,50,0.0,no
40,62,0.3322513924492622,no
41,87,0.17269216099643767,no
42,52,0.17269216099643767,no
43,373,0.30004120511992205,no
44,224,0.17269216099643767,no
45,118,0.2962916244943649,no
46,83,0.0,no
47,147,0.0,no
48,58,0.0,no
49,44,0.0,no
50,106,0.2962916244943649,no
51,238,0.0,no
52,43,0.0,no
53,185,0.30004120511992205,yes
54,189,0.17269216099643767,no
55,151,0.17269216099643767,no
56,364,0.3322513924492622,no
57,910,0.5935911417860731,no
58,889,0.5935911417860731,no
59,43,0.0,no
60,325,0.7549127852711445,no
61,27,0.17269216099643767,no
62,55,0.0,no
63,93,0.0,no
64,191,0.3322513924492622,no
65,90,0.17269216099643767,no
66,89,0.0,no
67,272,0.3322513924492622,no
68,152,0.3322513924492622,no
69,90,0.17269216099643767,no
70,82,0.0,no
71,148,0.17269216099643767,no
72,421,0.3322513924492622,yes
73,1190,0.8295386002886004,yes
74,528,0.64931438006438,yes
75,205,0.2962916244943649,no
76,190,0.4569561007438173,no
77,86,0.17269216099643767,no
78,212,0.7549127852711445,yes
79,404,0.5122043522353121,no
80,572,0.0,no
81,132,0.4569561007438173,no
82,168,0.30004120511992205,no
83,109,0.3322513924492622,yes
84,85,0.0,no
85,107,0.0,no
86,237,0.30004120511992205,no
87,511,0.5122043522353121,yes
88,47,0.0,no
89,1328,0.6603343878343878,yes
90,27,0.0,no
91,89,0.17269216099643767,no
92,482,0.638749233757641,no
93,226,0.3322513924492622,no
94,166,0.4569561007438173,no
95,92,0.17269216099643767,yes
96,476,0.638749233757641,no
97,93,0.17269216099643767,yes
98,244,0.0,no
99,204,0.2962916244943649,no
100,252,0.17269216099643767,no
101,119,0.17269216099643767,no
102,733,0.2962916244943649,no
103,630,0.4569561007438173,no
104,69,0.17269216099643767,no
105,77,0.0,no
106,97,0.17269216099643767,no
107,380,0.0,no
108,214,0.0,no
109,38,0.0,no
110,79,0.0,no
111,25,0.0,no
112,84,0.0,no
113,34,0.0,no
114,33,0.0,no
115,104,0.0,no
116,193,0.0,no
117,70,0.0,no
118,140,0.0,no
119,22,0.0,no
120,156,0.17269216099643767,no
121,142,0.0,no
122,100,0.17269216099643767,yes
123,152,0.0,no
124,31,0.0,no
125,60,0.0,no
126,60,0.0,no
127,876,0.0,no
128,61,0.0,no
129,185,0.0,no
130,264,0.0,no
131,43,0.0,no
132,248,0.17269216099643767,no
133,361,0.8439632034632034,yes
134,199,0.3322513924492622,yes
135,194,0.17269216099643767,yes
136,346,0.4569561007438173,yes
137,91,0.0,no
138,335,0.2962916244943649,yes
139,370,0.829953823953824,no
140,82,0.3322513924492622,no
141,53,0.17269216099643767,no
142,148,0.17269216099643767,no
143,4088,0.17269216099643767,no
144,88,0.0,no
145,878,0.8573690476190476,yes
146,37,0.0,no
147,48,0.0,no
148,47,0.0,no
149,101,0.3322513924492622,no
150,556,0.638749233757641,no
151,360,0.30004120511992205,no
152,284,0.5011671376619359,yes
153,135,0.2962916244943649,no
154,56,0.0,no
155,78,0.17269216099643767,no
156,409,0.6034415456579196,yes
157,174,0.0,no
158,148,0.0,no
159,88,0.17269216099643767,no
160,45,0.17269216099643767,yes
161,39,0.0,no
162,182,0.3322513924492622,no
163,77,0.0,no
164,666,0.17269216099643767,no
165,104,0.17269216099643767,no
166,263,0.5011671376619359,no
167,54,0.0,no
168,76,0.3322513924492622,no
169,119,0.0,no
170,200,0.2962916244943649,no
171,152,0.0,no
172,39,0.0,no
173,677,0.0,no
174,131,0.0,no
175,47,0.0,no
176,100,0.17269216099643767,no
177,43,0.0,no
178,73,0.17269216099643767,no
179,257,0.3322513924492622,no
180,356,0.0,no
181,62,0.17269216099643767,no
182,45,0.0,no
183,97,0.3322513924492622,no
184,131,0.2962916244943649,yes
185,68,0.17269216099643767,no
186,99,0.17269216099643767,no
187,53,0.0,no
188,81,0.17269216099643767,no
189,78,0.2962916244943649,yes
190,69,0.17269216099643767,no
191,69,0.0,no
192,77,0.0,no
193,72,0.0,no
194,72,0.17269216099643767,no
195,63,0.17269216099643767,no
196,50,0.0,no
197,28,0.0,no
198,96,0.17269216099643767,no
199,40,0.0,no
200,76,0.0,no
201,49,0.0,no
202,63,0.0,no
203,55,0.17269216099643767,no
204,45,0.0,no
205,476,0.0,no
206,77,0.0,no
207,69,0.0,no
208,104,0.0,no
209,115,0.0,no
210,421,0.0,no
211,61,0.0,no
212,2009,0.17269216099643767,no
