ID, Size, Predicted, Actual
1,215,0.3418520602131438,no
2,274,0.5447136956557981,no
3,461,0.5447136956557981,no
4,138,0.3418520602131438,no
5,358,0.5529998972259675,no
6,1248,0.8478226773226774,yes
7,51,0.0,no
8,45,0.0,no
9,157,0.5529998972259675,no
10,31,0.0,no
11,1008,0.7228639501952997,yes
12,55,0.0,no
13,204,0.0,no
14,55,0.0,no
15,103,0.0,no
16,83,0.3418520602131438,no
17,262,0.5447136956557981,no
18,83,0.0,no
19,867,0.7560468981656676,yes
20,40,0.3418520602131438,no
21,387,0.7114112168329946,yes
22,390,0.5447136956557981,no
23,51,0.0,no
24,637,0.7228639501952997,yes
25,32,0.0,no
26,68,0.3418520602131438,yes
27,547,0.3418520602131438,yes
28,566,0.0,no
29,314,0.7228639501952997,yes
30,839,0.6507752208024532,yes
31,211,0.5447136956557981,yes
32,31,0.0,no
33,50,0.5195874960121714,no
34,27,0.0,no
35,175,0.7560468981656676,no
36,50,0.0,no
37,62,0.5529998972259675,no
38,87,0.3418520602131438,no
39,52,0.3418520602131438,no
40,373,0.5195874960121714,no
41,224,0.3418520602131438,no
42,118,0.5447136956557981,yes
43,83,0.0,no
44,147,0.0,no
45,58,0.0,no
46,44,0.0,no
47,106,0.5447136956557981,no
48,189,0.3418520602131438,no
49,151,0.3418520602131438,no
50,352,0.5529998972259675,no
51,849,0.7560468981656676,yes
52,877,0.7560468981656676,yes
53,41,0.0,no
54,319,0.7291665782412351,yes
55,27,0.3418520602131438,yes
56,55,0.0,no
57,94,0.0,no
58,191,0.5529998972259675,no
59,90,0.3418520602131438,no
60,90,0.0,no
61,271,0.5529998972259675,yes
62,152,0.5529998972259675,no
63,90,0.3418520602131438,yes
64,82,0.0,no
65,147,0.3418520602131438,no
66,422,0.5529998972259675,yes
67,1059,0.87819338994339,yes
68,530,0.8288842268842268,yes
69,205,0.5447136956557981,yes
70,190,0.6507752208024532,no
71,86,0.3418520602131438,no
72,207,0.7291665782412351,no
73,397,0.7487199849222733,no
74,573,0.0,no
75,126,0.6507752208024532,no
76,167,0.5195874960121714,yes
77,109,0.5529998972259675,yes
78,85,0.0,no
79,237,0.5195874960121714,no
80,424,0.7487199849222733,yes
81,47,0.0,no
82,1118,0.7028228438228439,yes
83,27,0.0,no
84,89,0.3418520602131438,no
85,474,0.8291747461025465,yes
86,166,0.6507752208024532,no
87,92,0.3418520602131438,no
88,476,0.8291747461025465,yes
89,93,0.3418520602131438,no
90,244,0.0,no
91,204,0.5447136956557981,yes
92,252,0.3418520602131438,no
93,109,0.3418520602131438,yes
94,618,0.5447136956557981,yes
95,565,0.6507752208024532,yes
96,69,0.3418520602131438,no
97,77,0.0,no
98,97,0.3418520602131438,no
99,343,0.0,no
100,214,0.0,no
101,79,0.0,no
102,25,0.0,no
103,84,0.0,no
104,34,0.0,no
105,33,0.0,no
106,104,0.0,no
107,172,0.0,no
108,70,0.0,no
109,140,0.0,no
110,156,0.3418520602131438,no
111,142,0.0,no
112,152,0.0,no
113,31,0.0,no
114,60,0.0,no
115,60,0.0,no
116,876,0.0,no
117,61,0.0,no
118,185,0.0,no
119,264,0.0,no
120,43,0.0,no
121,248,0.3418520602131438,no
122,310,0.6741634199134199,no
123,199,0.5529998972259675,no
124,194,0.3418520602131438,no
125,346,0.6507752208024532,no
126,90,0.0,no
127,335,0.5447136956557981,yes
128,372,0.8912112527994881,no
129,84,0.5529998972259675,no
130,53,0.3418520602131438,no
131,148,0.3418520602131438,yes
132,4088,0.3418520602131438,no
133,860,0.8864038812494696,yes
134,47,0.0,no
135,101,0.5529998972259675,no
136,517,0.8291747461025465,yes
137,327,0.5195874960121714,yes
138,275,0.7114112168329946,yes
139,136,0.5447136956557981,yes
140,56,0.0,no
141,74,0.3418520602131438,yes
142,362,0.7228639501952997,yes
143,174,0.0,no
144,148,0.0,no
145,92,0.3418520602131438,no
146,45,0.3418520602131438,yes
147,39,0.0,no
148,182,0.5529998972259675,no
149,77,0.0,no
150,666,0.3418520602131438,no
151,88,0.3418520602131438,yes
152,263,0.7114112168329946,yes
153,54,0.0,no
154,76,0.5529998972259675,yes
155,132,0.0,no
156,160,0.5447136956557981,no
157,152,0.0,no
158,39,0.0,no
159,677,0.0,no
160,131,0.0,no
161,47,0.0,no
162,129,0.3418520602131438,no
163,43,0.0,no
164,73,0.3418520602131438,no
165,257,0.5529998972259675,no
166,356,0.0,no
167,62,0.3418520602131438,no
168,45,0.0,no
169,97,0.5529998972259675,no
170,131,0.5447136956557981,yes
171,68,0.3418520602131438,yes
172,99,0.3418520602131438,no
173,53,0.0,no
174,81,0.3418520602131438,no
175,78,0.5447136956557981,yes
176,69,0.3418520602131438,no
177,69,0.0,no
178,77,0.0,no
179,72,0.0,no
180,72,0.3418520602131438,no
181,63,0.3418520602131438,no
182,50,0.0,no
183,28,0.0,no
184,96,0.3418520602131438,no
185,40,0.0,no
186,76,0.0,no
187,49,0.0,no
188,63,0.0,no
189,55,0.3418520602131438,no
190,45,0.0,no
191,476,0.0,no
192,77,0.0,no
193,69,0.0,no
194,104,0.0,no
195,115,0.0,no
196,421,0.0,no
197,61,0.0,no
198,2009,0.3418520602131438,no
199,179,0.0,no
200,106,0.0,no
201,33,0.0,no
202,657,0.0,no
203,295,0.0,no
204,872,0.0,no
205,444,0.0,no
206,168,0.0,no
207,752,0.0,no
208,135,0.0,no
209,1126,0.0,no
210,163,0.0,no
211,184,0.0,no
212,51,0.0,no
213,25,0.0,no
214,180,0.0,no
215,64,0.0,no
216,101,0.0,no
217,512,0.0,no
218,187,0.0,no
219,56,0.0,no
220,39,0.0,no
221,261,0.0,no
222,73,0.0,no
223,65,0.0,no
224,329,0.0,no
225,64,0.0,no
226,164,0.0,no
227,624,0.3418520602131438,no
228,74,0.0,no
229,117,0.0,no
230,84,0.0,no
231,226,0.3418520602131438,no
232,76,0.0,no
233,323,0.0,no
234,72,0.0,no
235,42,0.0,no
236,48,0.0,no
237,89,0.3418520602131438,no
238,380,0.3418520602131438,no
239,141,0.5529998972259675,no
240,148,0.5529998972259675,no
241,191,0.3418520602131438,no
242,46,0.0,no
243,165,0.0,no
244,171,0.0,no
245,56,0.0,no
246,179,0.3418520602131438,no
247,74,0.0,no
248,36,0.0,no
249,37,0.0,no
250,34,0.3418520602131438,no
251,34,0.0,no
252,38,0.0,no
253,39,0.0,no
254,156,0.0,no
255,84,0.0,no
256,117,0.3418520602131438,no
257,94,0.0,no
258,71,0.0,no
259,183,0.5529998972259675,no
260,85,0.0,no
261,183,0.0,no
262,70,0.0,no
263,54,0.0,no
264,160,0.0,no
265,128,0.5195874960121714,no
266,151,0.5195874960121714,no
267,422,0.7339682947215226,no
268,221,0.5529998972259675,no
269,50,0.0,no
270,42,0.3418520602131438,no
271,624,0.0,no
272,377,0.3418520602131438,no
273,382,0.3418520602131438,no
274,72,0.0,no
275,92,0.0,no
276,282,0.3418520602131438,no
277,371,0.0,no
278,47,0.0,no
279,108,0.0,no
280,111,0.0,no
281,319,0.0,no
282,129,0.0,no
283,49,0.0,no
284,358,0.3418520602131438,no
285,277,0.0,no
286,49,0.0,no
287,89,0.0,no
288,41,0.0,no
289,66,0.0,no
290,63,0.0,no
291,24,0.0,no
292,50,0.0,no
293,72,0.0,no
294,47,0.0,no
295,47,0.0,no
296,183,0.0,no
297,49,0.0,no
298,50,0.0,no
299,98,0.0,no
300,143,0.0,no
301,43,0.0,no
302,42,0.0,no
303,56,0.0,no
304,44,0.0,no
305,26,0.0,no
306,254,0.3418520602131438,no
307,16883,0.5447136956557981,no
308,74,0.0,no
309,153,0.0,no
310,68,0.0,no
311,100,0.0,no
312,550,0.5447136956557981,no
313,437,0.3418520602131438,no
314,1038,0.7339682947215226,no
315,104,0.3418520602131438,no
316,332,0.5529998972259675,no
317,123,0.0,no
318,106,0.3418520602131438,no
319,106,0.3418520602131438,no
320,94,0.5529998972259675,no
321,101,0.3418520602131438,no
322,38,0.3418520602131438,no
323,628,0.7339682947215226,no
324,32,0.0,no
