Release ID, Filepath, Size, LOC Touched, NR, NFix, NAuth, LOC Added, Max LOC Added, Average LOC Added, Churn, Max Churn, Average Churn
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,344,6,1,4,241,137,40.166666666666664,138,137,23.0
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,966,9,2,5,662,294,73.55555555555556,358,252,39.77777777777778
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,4382,69,20,5,2815,545,40.79710144927536,1248,545,18.08695652173913
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,229,7,2,5,193,81,27.571428571428573,157,81,22.428571428571427
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,416,8,0,4,310,168,38.75,204,168,25.5
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,2257,34,8,5,1562,487,45.94117647058823,867,487,25.5
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,745,18,5,5,566,124,31.444444444444443,387,124,21.5
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,1456,16,3,4,753,536,47.0625,50,536,3.125
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,426,11,2,3,244,133,22.181818181818183,62,133,5.636363636363637
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,338,6,1,3,281,151,46.833333333333336,224,151,37.333333333333336
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,147,1,0,1,147,147,147.0,147,147,147.0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,435,7,1,3,293,126,41.857142857142854,151,126,21.571428571428573
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,374,10,0,3,363,249,36.3,352,249,35.2
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,2219,30,8,4,1534,410,51.13333333333333,849,410,28.3
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,2019,29,6,4,1448,714,49.93103448275862,877,714,30.24137931034483
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205,525,14,5,5,422,204,30.142857142857142,319,204,22.785714285714285
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,50,69,3,0,2,62,50,20.666666666666668,55,50,18.333333333333332
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,185,253,9,2,4,222,184,24.666666666666668,191,184,21.22222222222222
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,144,6,1,3,117,61,19.5,90,61,15.0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,157,398,16,2,4,275,167,17.1875,152,167,9.5
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,142,8,0,4,116,80,14.5,90,80,11.25
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,186,5,0,3,134,83,26.8,82,83,16.4
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,762,3295,42,17,5,2177,547,51.833333333333336,1059,547,25.214285714285715
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,248,942,26,11,5,736,198,28.307692307692307,530,198,20.384615384615383
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,169,457,15,1,4,331,140,22.066666666666666,205,140,13.666666666666666
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,196,500,17,6,4,345,178,20.294117647058822,190,178,11.176470588235293
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,67,126,7,1,4,106,67,15.142857142857142,86,67,12.285714285714286
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,165,355,16,7,4,281,138,17.5625,207,138,12.9375
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,173,1049,24,11,4,723,170,30.125,397,170,16.541666666666668
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,103,264,14,5,3,195,101,13.928571428571429,126,101,9.0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,78,203,6,3,2,185,78,30.833333333333332,167,78,27.833333333333332
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,87,189,5,1,3,149,87,29.8,109,87,21.8
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,87,2,0,2,86,85,43.0,85,85,42.5
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,105,259,10,2,3,248,61,24.8,237,61,23.7
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,216,524,15,8,4,474,216,31.6,424,216,28.266666666666666
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,377,1296,28,10,4,1207,377,43.107142857142854,1118,377,39.92857142857143
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,253,898,18,8,3,686,251,38.111111111111114,474,251,26.333333333333332
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,193,402,11,5,3,284,193,25.818181818181817,166,193,15.090909090909092
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,514,1000,17,10,3,738,514,43.411764705882355,476,514,28.0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,204,330,7,0,3,287,204,41.0,244,204,34.857142857142854
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,144,422,6,3,2,313,144,52.166666666666664,204,144,34.0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,430,7,1,2,341,145,48.714285714285715,252,109,36.0
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181,436,18,7,5,373,178,20.72222222222222,310,178,17.22222222222222
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154,400,10,2,4,373,158,37.3,346,158,34.6
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,1286,41,12,5,829,209,20.21951219512195,372,209,9.073170731707316
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,164,5,1,4,156,75,31.2,148,75,29.6
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,638,14,1,4,598,521,42.714285714285715,558,521,39.857142857142854
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,1800,37,18,5,1330,573,35.945945945945944,860,573,23.243243243243242
