KEY, IV, OV, FV, AV List
BOOKKEEPER-142,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-148,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-150,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-153,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-161,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-167,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-156,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-162,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-152,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-171,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-170,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-169,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-174,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-177,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-176,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-180,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-163,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-184,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-182,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-186,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-188,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-189,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-195,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-190,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-194,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-166,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-193,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-198,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-207,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-212,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-211,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-213,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-173,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-242,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-235,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-245,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-146,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-260,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-258,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-281,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-279,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-287,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-288,4.0.0,4.1.0,4.1.0,"{4.0.0}"
BOOKKEEPER-274,4.0.0,4.1.0,4.1.0,"{4.0.0, 4.1.0}"
BOOKKEEPER-298,4.1.0,4.1.1,4.1.1,"{4.1.0}"
BOOKKEEPER-292,4.0.0,4.1.0,4.1.1,"{4.0.0, 4.1.0}"
BOOKKEEPER-307,4.1.0,4.1.1,4.1.1,"{4.1.0}"
