@relation 'BOOKKEEPER_trainingSet_4-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute ' Size' numeric
@attribute ' LOC Touched' numeric
@attribute ' NR' numeric
@attribute ' NFix' numeric
@attribute ' NAuth' numeric
@attribute ' LOC Added' numeric
@attribute ' Max LOC Added' numeric
@attribute ' Average LOC Added' numeric
@attribute ' Churn' numeric
@attribute ' Max Churn' numeric
@attribute ' Average Churn' numeric
@attribute ' Bugginess' {no,yes}

@data
137,386,9,1,7,262,137,29.111111,138,137,15.333333,no
244,1092,18,2,10,697,294,38.722222,302,252,16.777778,no
1026,9918,165,23,35,5024,545,30.448485,130,545,0.787879,yes
92,485,19,2,13,428,84,22.526316,371,82,19.526316,yes
180,776,21,0,13,537,168,25.571429,298,168,14.190476,no
471,5776,88,12,28,3541,643,40.238636,1306,487,14.840909,yes
204,1308,40,7,15,943,124,23.575,578,124,14.45,yes
551,1550,28,4,13,833,536,29.75,116,536,4.142857,yes
149,513,26,2,15,303,133,11.653846,93,133,3.576923,yes
157,496,13,1,8,414,151,31.846154,332,151,25.538462,yes
147,150,2,0,2,148,147,74,146,147,73,no
137,657,14,1,8,481,126,34.357143,305,126,21.785714,yes
271,1002,37,2,19,753,249,20.351351,504,249,13.621622,no
548,4758,112,12,31,3212,410,28.678571,1666,410,14.875,yes
728,4963,112,12,34,3405,714,30.401786,1847,714,16.491071,yes
205,1523,42,9,21,804,204,19.142857,85,204,2.02381,yes
50,83,4,0,3,68,50,17,53,50,13.25,no
185,446,14,2,8,343,184,24.5,240,184,17.142857,yes
61,434,16,1,10,351,103,21.9375,268,100,16.75,yes
157,1085,46,2,16,780,195,16.956522,475,185,10.326087,yes
81,272,17,1,9,209,80,12.294118,146,80,8.588235,no
84,326,14,0,9,218,83,15.571429,110,83,7.857143,no
762,8100,158,25,37,5237,547,33.14557,2374,547,15.025316,yes
248,2468,64,13,15,1394,198,21.78125,320,198,5,yes
169,852,41,3,15,580,140,14.146341,308,140,7.512195,no
196,828,40,6,14,539,178,13.475,250,178,6.25,yes
67,169,11,1,7,131,67,11.909091,93,67,8.454545,no
