Release ID, Filepath, Size, LOC Touched, NR, NFix, NAuth, LOC Added, Max LOC Added, Average LOC Added, Churn, Max Churn, Average Churn, Bugginess
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,386,9,1,7,262,137,29.11111111111111,138,137,15.333333333333334,false
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,1092,18,2,10,697,294,38.72222222222222,302,252,16.77777777777778,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,9918,165,23,35,5024,545,30.44848484848485,130,545,0.7878787878787878,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,485,19,2,13,428,84,22.526315789473685,371,82,19.526315789473685,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,774,20,0,12,536,168,26.8,298,168,14.9,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,5776,88,12,28,3541,643,40.23863636363637,1306,487,14.840909090909092,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,1308,40,7,15,943,124,23.575,578,124,14.45,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,1550,28,4,13,833,536,29.75,116,536,4.142857142857143,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,513,26,2,15,303,133,11.653846153846153,93,133,3.576923076923077,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,496,13,1,8,414,151,31.846153846153847,332,151,25.53846153846154,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,150,2,0,2,148,147,74.0,146,147,73.0,false
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,657,14,1,8,481,126,34.357142857142854,305,126,21.785714285714285,true
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,1002,37,2,19,753,249,20.35135135135135,504,249,13.621621621621621,false
