ProjName, Classifier Name, Training%, Feature Selection, Sampling, Cost Sensitive, Precision, Recall, Kappa, TP, FP, TN, FN, areaUnderROC, fMeasure
BOOKKEEPER,RandomForest,68.40247131509267,no,no,no,0.7142857142857143,0.625,0.6278586278586281,25.0,308.0,10.0,15.0,0.9188286163522013,0.6666666666666666
BOOKKEEPER,RandomForest,68.40247131509267,featureSelection,no,no,0.7666666666666667,0.575,0.6208296557811119,23.0,311.0,7.0,17.0,0.9284198113207547,0.6571428571428571
BOOKKEEPER,RandomForest,68.40247131509267,no,sampling,no,0.7368421052631579,0.7,0.6834914000964476,28.0,308.0,10.0,12.0,0.9175707547169811,0.717948717948718
BOOKKEEPER,RandomForest,68.40247131509267,no,no,costSensitive,0.6458333333333334,0.775,0.6635338345864662,31.0,301.0,17.0,9.0,0.9258647798742138,0.7045454545454546
BOOKKEEPER,RandomForest,68.40247131509267,featureSelection,sampling,no,0.7647058823529411,0.65,0.6686858488978631,26.0,310.0,8.0,14.0,0.9378144654088051,0.7027027027027027
BOOKKEEPER,RandomForest,68.40247131509267,featureSelection,no,costSensitive,0.4444444444444444,0.8,0.4995340167753963,32.0,278.0,40.0,8.0,0.9433569182389937,0.5714285714285714
BOOKKEEPER,NaiveBayes,68.40247131509267,no,no,no,0.5555555555555556,0.875,0.6288873531444366,35.0,290.0,28.0,5.0,0.9349842767295597,0.6796116504854369
BOOKKEEPER,NaiveBayes,68.40247131509267,featureSelection,no,no,0.717948717948718,0.7,0.6727605118829981,28.0,307.0,11.0,12.0,0.9467374213836478,0.708860759493671
BOOKKEEPER,NaiveBayes,68.40247131509267,no,sampling,no,0.5,0.875,0.5760805210183542,35.0,283.0,35.0,5.0,0.9386006289308176,0.6363636363636364
BOOKKEEPER,NaiveBayes,68.40247131509267,no,no,costSensitive,0.4567901234567901,0.925,0.5432433899777406,37.0,274.0,44.0,3.0,0.9362421383647799,0.6115702479338843
BOOKKEEPER,NaiveBayes,68.40247131509267,featureSelection,sampling,no,0.717948717948718,0.7,0.6727605118829981,28.0,307.0,11.0,12.0,0.9365172955974843,0.708860759493671
