ID, Size, Predicted, Actual
1,78,0.9347885715577584,no
2,302,0.9999999899897266,no
3,87,0.6271809435064146,no
4,198,0.8063636766526097,no
5,175,0.8496460488280178,no
6,65,0.9304656525834213,no
7,105,0.7575853944609579,no
8,58,0.9942480523635933,no
9,196,0.9957838258729994,no
10,106,0.6869277136296525,no
11,130,0.9220636515994468,no
12,64,0.9476280006649365,no
13,132,0.920544791129171,no
14,62,0.9708539072283958,no
15,108,0.07252841153944141,no
16,432,0.9999737829409503,no
17,174,0.998580583014866,no
18,246,0.999997802975116,no
19,106,0.528066818727626,no
20,121,0.9901438073196951,no
21,110,0.9999805516515974,no
22,58,0.9873618565085374,no
23,37,0.9919422906084724,no
24,77,0.9714447284144448,no
25,142,0.9980942458210106,no
26,114,0.996840921701457,no
27,80,0.9754170541445776,no
28,59,0.9873618565085374,no
29,69,0.9463256974038694,no
30,95,0.9999103119242474,no
31,64,0.9451811009233354,no
32,164,0.999072034916638,no
33,70,0.9729558665202346,no
34,32,0.9925910325587701,no
35,148,0.9994825744363355,no
36,156,0.9996203251063974,no
37,119,0.9800673055940283,no
38,116,0.9448500933650396,no
39,93,0.9490606146634604,no
40,256,0.9962314551124868,yes
41,123,0.817366976503102,no
42,201,0.9999999928984046,no
43,180,0.999999602395526,no
44,156,0.9935478703819476,no
45,98,0.9336530265878835,no
46,86,0.6272468059486018,no
47,48,0.9904267531414561,no
48,145,0.9815474125669015,no
49,145,0.974953464799804,no
50,113,0.9996562261269576,no
51,260,0.9998888963067969,no
52,618,0.9999999991259334,no
53,39,0.9855409115398367,no
54,39,0.995055117282435,no
55,39,0.995055117282435,no
56,24,0.9930861151704,no
57,62,0.9878248242768491,no
58,77,0.9957028961644429,no
59,77,0.9999973424185092,no
60,54,0.9988608383856165,no
61,92,0.9413501751546162,no
62,58,0.9995399456874696,no
63,24,0.9930861151704,no
64,64,0.9998644187133786,no
65,216,1.0,no
66,36,0.9932236718161248,no
67,36,0.9932236718161248,no
68,208,1.0,no
69,64,0.9989661883667998,no
70,39,0.9918995602449916,no
71,47,0.9838687122522585,no
72,74,0.99999682883683,no
73,71,0.9930460057979095,no
74,123,0.7847247033055456,no
75,44,0.9757733657005848,no
76,122,0.7847247033055456,no
77,53,0.9573180610332018,no
78,242,7.874951336453613E-5,yes
79,44,0.9578894429478284,no
80,171,0.9846020574081714,no
81,511,0.9999999961363902,yes
82,122,0.3186024769245346,yes
83,178,1.0,no
84,133,0.04467283890440498,yes
85,340,7.61888527709594E-6,yes
86,201,0.7190867951044928,yes
87,116,0.9999877175148905,no
88,225,1.0,no
89,42,0.9912708467204507,no
90,44,0.9906134094368618,no
91,94,0.9999920198220034,no
92,136,0.9992238161369661,no
93,27,0.9897639897440773,no
94,47,0.9738486350720387,no
95,60,0.9997951101215344,no
96,58,0.968089728527749,no
97,56,0.9969810869505692,no
98,205,0.9999999999474026,no
99,49,0.06649858322107641,no
100,49,0.8886618851666858,no
101,31,0.18974918665833132,no
102,41,0.12149129135517121,no
103,95,0.04486899203159324,no
104,29,0.9700029667142164,no
105,49,0.8967604929269245,no
106,78,0.8915903094573113,no
107,45,0.9779994968920518,no
108,31,0.990716784312682,no
109,30,0.9707836083061595,no
110,36,0.9671750703750022,no
111,43,0.9070141106307555,no
112,60,0.9397083264608831,no
113,85,0.9033929205142227,no
114,92,0.9468072369208742,no
115,156,0.43041457597182137,yes
116,98,0.9468072369208742,no
117,131,0.33773139564417776,yes
118,194,0.21919628162830662,no
119,201,0.9115542879820363,no
120,69,0.9134657407140125,no
121,68,0.9610252565629953,no
122,52,0.9772274926758016,no
123,50,0.9755797777938142,no
124,202,0.9981496355145766,no
125,73,0.9624844125621415,no
126,42,0.9892609418598184,no
127,35,0.9906646147119745,no
128,125,0.9530597573109192,no
129,65,0.9746003943133666,no
130,48,0.9829091550177992,no
131,89,0.9672143646865577,no
132,153,0.9998910387688453,no
133,40,0.9894890128545809,no
134,64,0.9377323342272976,no
135,99,0.9114595413285747,no
136,73,0.9576606750605031,no
137,72,0.9576606750605031,no
138,51,0.9653606427900118,yes
139,36,0.9841579415520405,no
140,31,0.9832631095579085,yes
141,61,0.7516865014274462,yes
142,74,0.9711630667495617,yes
143,101,0.8792931876355194,no
144,86,0.8461270214748581,yes
145,106,0.9385598627995543,yes
146,91,0.8970162717636927,yes
147,58,0.9568807118326609,yes
148,106,0.9792134610983515,yes
149,143,0.5677884720868018,yes
150,52,0.9411151751138237,yes
151,88,0.9674687855912448,yes
152,66,0.6914624112387042,yes
153,44,0.9701525694618066,no
154,158,0.9718911496823376,no
155,51,0.9701525694618066,no
156,36,0.9841579415520405,no
157,63,0.9155834567830684,no
158,36,0.9665981964388143,no
159,43,0.8892012764751521,no
160,81,0.06339158836356622,no
161,75,0.08339655275732863,no
162,81,0.15925849778720555,no
163,88,0.06621241702428574,no
164,42,0.8892012764751521,no
165,82,0.8074396398703968,no
166,55,0.8327163902237282,no
167,48,0.8631696320827777,no
168,72,0.999983072970974,no
169,113,0.09690449493790496,no
170,55,0.4895100479192479,no
171,35,0.947092497039246,no
172,47,0.9197757009558925,no
173,101,0.04002115230606485,yes
174,109,0.9968566020049645,no
175,28,0.9484917437617214,no
176,54,0.9983932419084935,yes
177,158,0.9917283674359672,yes
178,52,0.6773800174401768,yes
179,53,0.8572162749957857,yes
180,81,0.9837566234771833,yes
181,83,0.9295646993438161,yes
182,63,0.8504122683762012,yes
183,48,0.9965273053902571,yes
184,55,0.10311480615399164,yes
185,149,0.10564272773327445,yes
186,263,0.7799864287016499,yes
187,179,0.9994353671309116,yes
188,37,0.9904642538159146,yes
189,25,0.9732699890954101,yes
190,30,0.47530729512831815,yes
191,36,0.9498636810369323,yes
192,30,0.9729847417925231,yes
193,27,0.9818497806056549,yes
194,37,0.9598816525661489,yes
195,33,0.9774455217678327,yes
196,31,0.883556277245758,yes
197,56,0.9614500229088659,yes
198,101,0.9994567152320157,yes
199,139,0.9259163748358977,yes
200,85,0.933912432829279,yes
201,95,0.9995050516006478,yes
202,60,0.6601298676350339,yes
203,35,0.793939017875941,yes
204,26,0.9818497806056549,yes
