ID, Size, Predicted, Actual
1,111,0.9999865405671519,yes
2,22,0.9999986916849057,yes
3,75,0.9999969262003091,no
4,131,0.9999864150505542,yes
5,74,0.9999978850881707,no
6,84,0.9999973890032418,no
7,70,0.999997660515596,no
8,57,0.9999981122938618,no
9,70,0.9999987192683102,no
10,59,0.9999976465709893,no
11,88,0.9999981266130756,no
12,40,0.999998976486774,no
13,99,0.9999984614128498,no
14,187,0.999997347427536,no
15,196,0.9999973471181975,no
16,192,0.9999809094280936,no
17,97,0.9999989960493192,no
18,98,0.9999978984578368,no
19,96,0.9999979007522404,no
20,173,0.9999973664068279,no
21,141,0.9999961575126025,no
22,142,0.9999973878627136,no
23,188,0.9999938501188962,no
24,90,0.9999965899612947,no
25,110,0.9999961801436738,no
26,62,0.9999991517555288,no
27,61,0.9999991517555288,no
28,120,0.9999990228456885,no
29,116,0.999999131339579,no
30,58,0.9999992037859392,no
31,74,0.9999991305184515,no
32,75,0.9999988859933941,no
33,49,0.9999988834130508,no
34,102,0.9999991098320632,no
35,62,0.99999910433842,no
36,107,0.9999991241608551,no
37,51,0.9999991982600223,no
38,43,0.9999988788885624,no
39,73,0.9999991513863573,no
40,42,0.9999976840026953,no
41,82,0.9999988801258807,no
42,83,0.9999990341296661,no
43,466,0.9999981960314723,yes
44,106,0.999999162603262,no
45,119,0.9999990455228086,no
46,332,0.9999990469228169,no
47,91,0.999998872069631,no
48,84,0.9999992075919766,no
49,123,0.9999986196687369,no
50,263,0.9999979246716837,no
51,99,0.9999991075719655,no
52,259,0.9999990836163782,no
53,1066,0.999990659022131,no
54,137,0.9999988577405657,no
55,151,0.9999991136903583,no
56,121,0.9999991134786391,yes
57,122,0.9999991505682988,no
58,107,0.9999991065967176,no
59,83,0.9999987412104276,no
60,288,0.9999909423102722,yes
61,504,0.9999987009352903,yes
62,72,0.9999988649020173,no
63,76,0.9999990262345326,no
64,69,0.9999990149629568,no
65,83,0.9999984590152176,no
66,65,0.9999987722318868,no
67,88,0.9999984590152176,no
68,40,0.9999990199565586,no
69,86,0.9999984590152176,no
70,89,0.9999990302104262,no
71,49,0.9999987177143875,no
72,102,0.9999989878233547,no
73,94,0.9999988716999423,no
74,72,0.9999988700565918,no
75,60,0.9999988605209696,no
76,76,0.999998866249135,no
77,92,0.9999984470499517,no
78,96,0.9999984500893399,no
79,70,0.9999988487817324,no
80,86,0.9999984470499517,no
81,101,0.9999989064180207,no
82,169,0.9999991101013799,no
83,115,0.9999991117736988,no
84,153,0.9999980703793924,no
85,58,0.9999991236680998,no
86,47,0.9999988943459988,no
87,49,0.9999991167408646,no
88,58,0.9999991236680998,no
89,70,0.9999991274413135,no
90,141,0.9999991338466865,no
91,93,0.9999991338422619,no
92,273,0.9999988981412421,no
93,96,0.9999972147816356,no
94,50,0.9999991167408646,no
95,241,0.9999980235140606,no
96,195,0.9999965564668829,no
97,131,0.999999030511527,no
98,170,0.9999990289644483,yes
99,161,0.9999965695863604,no
100,102,0.9999973153947208,no
101,150,0.9999965761209246,no
102,65,0.9999980734750782,no
103,88,0.9999984590152176,no
104,40,0.9999990233387781,no
105,57,0.9999990332206492,no
106,39,0.9999990233387781,no
107,85,0.9999984608826411,no
108,93,0.9999984649166145,no
109,87,0.9999988697998213,no
110,81,0.9999988673721737,no
111,95,0.9999984355515396,no
112,66,0.9999992037859392,no
113,94,0.9999985444240032,no
114,76,0.9999985638248611,no
115,116,0.9999988687291308,no
116,56,0.999998851034864,no
117,48,0.9999990246209969,no
118,71,0.9999990384880543,no
119,45,0.9999988466186754,no
120,45,0.9999990229595961,no
121,30,0.9999991409939449,no
122,74,0.9999973849894673,no
123,299,0.9999952662774796,yes
124,82,0.999991293067348,yes
125,197,0.9999797893383867,no
126,173,0.9999940103950057,no
127,84,0.9999988376222424,no
128,75,0.9999985992017877,yes
129,65,0.9999855104251942,no
130,96,0.9999957666243999,no
131,176,0.9999989762679523,no
132,193,0.9999980011687073,no
133,157,0.999895313376513,no
134,88,0.9999973646090808,no
135,67,0.9999973807551233,no
136,92,0.9999973510027621,no
137,56,0.999998776463576,no
138,102,0.9998596855948398,yes
139,138,0.9999987699972003,no
140,106,0.9999987727634025,no
141,174,0.9999987491833019,no
142,244,0.9999961712901231,no
143,101,0.9999806277606464,yes
144,113,0.999998786664593,no
145,110,0.9999991385979771,no
146,58,0.9999991417586536,no
147,37,0.9999991279328132,no
148,77,0.9999986290862017,no
149,142,0.9999986122112983,no
150,118,0.9999986227471834,no
151,80,0.9999987220648942,no
152,59,0.9999991417586536,no
153,69,0.9999973734536622,no
154,95,0.9999986207651528,no
155,97,0.9999965912553882,no
156,82,0.999981266562048,no
157,67,0.9999965576157697,no
158,110,0.9999965812452091,no
159,103,0.9999965812452091,no
160,111,0.9999957600551618,no
161,82,0.999996570805951,no
162,56,0.9999957026465173,yes
163,73,0.9999965640812843,no
164,100,0.9999965770972137,no
165,70,0.9999988666708014,yes
166,32,0.999999125214578,no
167,148,0.9999986026507511,no
168,156,0.9999985928062837,no
169,119,0.9999984656879964,yes
170,116,0.9999945935698372,no
171,73,0.9999980751383257,no
172,84,0.9999984608216429,no
173,122,0.9999916787045333,no
174,191,0.9999897354560163,no
175,170,0.9999902171942638,no
176,153,0.999998038499108,no
177,78,0.9999984479532753,no
178,84,0.9999865519884499,no
179,140,0.9999987019226513,no
180,127,0.9999957235764999,yes
181,30,0.9999990296547865,no
182,80,0.9999990608342247,no
183,45,0.999998424816185,no
184,63,0.9999988440596146,no
185,141,0.9999987699972003,no
186,81,0.9999957026465173,no
187,45,0.9999955932723766,no
188,63,0.9999984326217412,no
189,190,0.9999988579420549,no
190,74,0.9999965183339086,no
191,47,0.9999983923411587,no
192,65,0.9999988462274707,no
193,253,0.9999988270701418,no
194,32,0.9999990296547865,no
195,61,0.9999906926579905,no
196,86,0.9999907598683003,no
197,93,0.999997246342669,no
198,157,0.9999894461129795,no
199,99,0.9999946026883196,no
