ID, Size, Predicted, Actual
1,78,0.9312254854120461,no
2,87,0.9969806001184718,no
3,68,0.9978101872611428,no
4,105,0.9972927021097714,no
5,58,0.9922665820191121,no
6,196,0.9874331859144324,no
7,132,0.9836703937494963,no
8,64,0.9978101872611428,no
9,134,0.9969186833157087,no
10,174,0.9921191648208079,no
11,246,0.9975779985650376,no
12,107,0.9960571106199098,no
13,121,0.9981223450375252,no
14,110,0.9836703937494963,no
15,58,0.9978101872611428,no
16,37,0.9978104764361637,no
17,77,0.9975754657581288,no
18,142,0.983525111545948,no
19,114,0.9977800333526643,no
20,59,0.9978101872611428,no
21,64,0.9978101872611428,no
22,164,0.9969186833157087,no
23,70,0.9978050452103265,no
24,32,0.9978104764361637,no
25,148,0.9977599967636558,no
26,156,0.9977347718881094,no
27,119,0.9977800333526643,no
28,118,0.9977800333526643,no
29,230,0.9938463642239362,no
30,156,0.9977347718881094,no
31,85,0.9969806001184718,no
32,48,0.9547643123093961,yes
33,263,0.9557089299266298,no
34,594,0.1262440751574821,yes
35,39,0.9972674353580121,no
36,39,0.9981868793231148,no
37,39,0.9981868793231148,no
38,24,0.9981868793231148,no
39,62,0.9972731136480978,no
40,77,0.9972727536964128,no
41,77,0.9981904114124027,no
42,54,0.9981906504680923,no
43,90,0.990965688879228,no
44,58,0.9981906504680923,no
45,24,0.9981868793231148,no
46,64,0.9981906504680923,no
47,216,0.9971788818777348,no
48,36,0.9981868793231148,no
49,36,0.9981868793231148,no
50,208,0.9977599967636558,no
51,74,0.9981904114124027,no
52,71,0.9972731136480978,no
53,56,0.9758517536327972,no
54,44,0.9972731136480978,no
55,55,0.9758517536327972,no
56,36,0.99248207187041,no
57,43,0.9753047051090141,no
58,81,0.5680240436470846,no
59,75,0.4275562437267985,no
60,81,0.8532011776264491,no
61,88,0.4275562437267985,no
62,42,0.9753047051090141,no
63,82,0.9678009623811846,no
64,55,0.9793897394589494,no
65,48,0.98657543053565,no
66,72,0.9973050097047742,no
67,113,0.5573625678688652,no
68,55,0.83290908635261,no
69,35,0.9733613933558576,no
70,47,0.99248207187041,no
71,101,0.4275562437267985,yes
72,109,0.9924635230940088,no
73,28,0.983858109951577,no
74,54,0.9978067076310936,yes
75,158,0.990772150555209,yes
76,52,0.9908978182076238,yes
77,53,0.9966951147027592,yes
78,81,0.9966946787075178,yes
79,83,0.9926489297462379,yes
80,63,0.9926498954688778,yes
81,48,0.9978067076310936,yes
82,55,0.885739895037638,yes
83,149,0.5573625678688652,yes
84,263,0.7297564594064437,yes
85,179,0.8898207280871527,yes
86,37,0.9978021380135079,yes
87,25,0.989044260820533,yes
88,30,0.9678133333584237,yes
89,36,0.989044260820533,yes
90,30,0.9952461513178317,yes
91,27,0.9966882368223055,yes
92,37,0.9908789858356953,yes
93,33,0.9966882368223055,yes
94,31,0.9963422739398693,yes
95,56,0.9966951147027592,yes
96,101,0.9966869259512001,yes
97,139,0.9788457592312638,yes
98,85,0.9908966243925099,yes
99,95,0.9966946787075178,yes
100,60,0.9908978182076238,yes
101,35,0.9908789858356953,yes
102,26,0.9966882368223055,yes
103,69,0.9753047051090141,yes
104,64,0.8149232602406705,yes
105,39,0.989044260820533,yes
106,41,0.9966882368223055,yes
107,167,0.948461864098003,yes
108,66,0.7390229164608096,yes
109,93,0.9908966243925099,yes
110,76,4.6097366591976474E-4,no
111,77,2.8938282921426396E-4,no
112,83,0.18084869721879857,no
113,48,0.9908978182076238,no
114,85,0.9935651853987566,no
115,43,0.9541794848511173,no
116,90,0.9908966243925099,no
117,202,0.9934183412495395,no
118,135,0.9684451863587278,no
119,30,0.9973060766820897,no
120,29,0.9973060766820897,no
121,67,0.23502877499475208,yes
122,242,0.9967346224205604,no
123,64,0.954758595706924,yes
124,50,0.9966951147027592,yes
125,89,0.9908966243925099,no
126,40,0.9926498954688778,yes
127,49,0.978991285145095,no
128,249,0.010357818079048835,yes
129,40,0.9908789858356953,no
130,171,0.025153399469455506,no
131,40,0.989044260820533,no
132,32,0.9908789858356953,no
133,139,5.314847719311073E-13,yes
134,131,0.0026459112864911424,yes
135,149,0.013681920054426587,yes
136,86,0.9963498676858309,no
137,69,0.9898893998163231,no
138,88,0.9966951147027592,no
139,42,0.9963422739398693,no
140,32,0.9966882368223055,no
141,56,0.9313843330220924,no
142,51,0.9952461513178317,yes
143,81,0.9894679226421216,yes
144,35,0.9963422739398693,yes
145,72,0.9686599699198651,yes
146,46,0.9966882368223055,no
147,46,0.9973405486306506,no
148,44,0.9969817951445349,no
149,29,0.9936017276634748,no
150,280,0.9965936383112731,no
151,63,0.5956221743658858,yes
152,101,0.9855222453785806,yes
153,562,0.0018121325131683435,yes
154,46,0.9898893998163231,no
155,31,0.9898685023640801,no
156,83,0.9978104764361637,no
157,71,0.9898893998163231,no
158,83,0.9966882368223055,no
159,40,0.9978369578326377,no
160,32,0.9966882368223055,no
161,57,0.985718377260177,no
162,64,0.9678782460700033,yes
163,94,0.9043221234378044,yes
164,45,0.9789483415735776,yes
165,98,0.2882025540338625,yes
166,46,0.9966882368223055,no
167,46,0.9973405486306506,no
168,328,5.3595410356768586E-12,yes
169,143,0.761665917314318,no
170,81,0.930842927898573,no
171,132,0.2064807358322932,no
172,157,0.003498241210153462,yes
173,76,0.8819492543631756,yes
174,419,0.002371090395535125,yes
175,306,7.478816798815106E-4,yes
176,48,0.7901047460419426,yes
177,31,0.904141494707668,yes
178,62,0.1680482430447564,yes
179,96,0.16708308215808598,yes
180,77,0.5680240436470846,yes
181,111,0.9700709336543304,yes
182,43,0.9865495329528834,yes
183,63,0.8931165977393868,yes
184,235,0.8486079511148162,yes
185,75,0.9963493863108837,no
186,43,0.9678782460700033,no
187,33,0.9908789858356953,no
188,63,0.47541992727081206,no
189,94,0.5680240436470846,yes
190,40,0.9952560098709969,no
191,160,0.30600670703855004,yes
192,40,0.9890668395940055,no
193,32,0.9952461513178317,no
194,86,0.9909446206459788,no
195,25,0.9972674353580121,no
196,178,0.05100762661138186,yes
197,94,0.9794051949538871,no
198,184,0.9026417472954077,yes
199,29,0.9978059146534335,no
200,29,0.9951800125833755,yes
201,52,0.048899230401544196,yes
202,43,0.9978104764361637,no
203,199,0.012926994656576084,yes
204,240,2.0960576751327052E-14,yes
205,28,0.9935526837610987,no
206,37,0.9908978182076238,no
207,69,0.8419303542458696,no
208,28,0.9972674353580121,no
209,303,1.4373639922834976E-79,yes
210,47,0.23752227720032085,no
211,51,0.9795443009407168,no
212,38,0.9978104764361637,no
213,52,0.9978101872611428,no
214,37,0.9935660315315209,no
215,46,0.9908978182076238,no
216,25,0.9977705962296646,no
217,113,0.7025887579305448,yes
218,36,0.9972731136480978,no
219,116,0.948461864098003,no
220,187,7.20331625808288E-4,yes
221,48,0.9969817951445349,no
222,32,0.9984435373527074,no
223,34,0.9984435373527074,no
224,26,0.998550272487456,no
225,50,0.9795443009407168,no
226,31,0.9978104764361637,no
227,98,0.9792678502699823,no
228,26,0.9978059146534335,no
229,25,0.9795051212498753,no
230,40,0.9978104764361637,no
231,59,0.8149032974554411,yes
232,36,0.9795469527685352,no
233,58,0.9491277542753708,yes
234,37,0.9978104764361637,no
235,281,0.010385379861346489,yes
236,99,0.9909668737198025,no
237,57,0.9978369578326377,no
238,31,0.9984435373527074,no
239,70,0.9794971488240796,no
240,41,0.9984435373527074,no
241,28,0.9984435373527074,no
242,34,0.9984435373527074,no
243,26,0.998550272487456,no
244,109,0.006255527382052138,no
245,133,0.04857842692004416,no
246,121,0.0035936924082062365,no
247,131,0.9908421506587024,no
248,163,0.5534630243108097,no
249,65,0.5590689550050986,no
250,53,0.9733613933558576,no
251,37,0.9310025936289703,no
252,76,0.6901148332149384,yes
253,70,0.9491277542753708,no
254,43,0.9491341444723461,no
255,29,0.9924664923917035,no
256,24,0.9924664923917035,no
257,41,0.986678577543939,no
258,137,0.9898185792943651,yes
259,95,0.9857165139171701,yes
260,96,0.9686559517140397,yes
261,56,0.992267597580153,yes
262,40,0.9898685023640801,yes
263,350,0.008322820151712994,yes
264,112,0.09778704335500861,no
265,71,0.888826084522679,yes
266,93,0.7816701994049507,yes
267,381,0.010886800955781028,yes
268,115,0.3093706837548815,no
269,69,0.9313758741688146,yes
270,98,0.7808894782644029,yes
271,136,0.5630212508540938,no
272,59,0.9924810842646219,no
273,30,0.9924664923917035,no
274,42,0.9678782460700033,no
275,182,0.9467909203268025,no
276,160,0.9474640296743428,no
277,32,0.9753047051090141,no
278,24,0.9946773346710857,no
279,50,0.99248207187041,no
280,50,0.99248207187041,no
281,63,0.9924810842646219,no
282,116,0.9923781086912971,no
283,182,0.9859332742329994,no
284,69,0.98657543053565,no
285,27,0.9908789858356953,no
286,67,0.9491277542753708,no
287,44,0.9491341444723461,no
288,33,0.9753047051090141,no
289,72,0.9981868793231148,no
290,89,0.9972727536964128,no
291,304,0.9899387732326433,no
292,1756,1.4844937261607627E-198,yes
293,375,1.6601042603964561E-7,yes
294,36,0.9952823743978685,yes
295,32,0.9978104764361637,yes
296,49,0.9952823743978685,yes
297,27,0.9984064643501334,no
298,83,0.9951893740351402,no
299,445,1.07388379648353E-10,yes
300,119,0.9984165984174649,no
301,153,0.9984165984174649,no
302,51,0.9984132974569417,no
303,51,0.9984132974569417,no
304,56,0.9908753965822051,yes
305,106,0.990772150555209,yes
306,108,0.9733613933558576,no
307,46,0.9984132974569417,no
308,53,0.9984132974569417,no
309,447,0.8552636466527942,no
310,382,0.9792678502699823,no
311,30,0.9984132974569417,no
312,22,0.9984064643501334,no
313,114,0.47541992727081206,yes
314,263,0.011681165717462024,yes
315,75,0.9924664923917035,no
316,93,0.9984132974569417,no
317,52,0.9969817951445349,no
318,393,0.8563748200896135,no
319,59,0.9984132974569417,no
320,124,0.9313758741688146,yes
321,405,0.3227497904131606,yes
322,982,0.08659348871306978,yes
323,405,0.44440805472794925,yes
324,513,0.45972838651036313,yes
325,1389,0.005240145917065143,yes
326,769,2.382688125232149E-4,yes
327,767,0.02753355011806462,yes
328,851,0.4174706548100791,yes
329,462,0.9526675174143193,yes
330,457,0.0017072579195320412,yes
331,405,0.466964540275878,yes
332,506,0.45972838651036313,yes
333,505,0.9794265379898789,yes
334,1328,0.008626205955468673,yes
335,2935,3.6820951799017636E-5,yes
336,713,0.04276322160433857,yes
337,498,0.45972838651036313,yes
338,387,0.953269955378981,yes
339,914,0.0011819573902833221,yes
340,921,0.4174706548100791,yes
341,421,0.8454640589400069,yes
342,506,0.45972838651036313,yes
343,800,0.9451046764461775,yes
344,405,0.466964540275878,yes
345,560,0.4552911724393612,yes
346,631,0.9501894656430279,yes
347,406,0.46362033171944167,yes
348,457,0.38222921481852506,yes
349,470,0.38222921481852506,yes
350,405,0.9868189340271754,yes
351,754,0.23098849112945857,yes
352,560,0.29308767392095353,yes
353,470,0.38222921481852506,yes
354,474,0.9350965147486751,yes
355,835,0.9745473454666078,yes
356,65,0.9969876677397776,yes
357,24406,3.482434252434175E-12,yes
358,795,0.798423356093922,yes
359,555,0.2594430052712547,yes
360,405,0.466964540275878,yes
361,299,0.4697591576710244,yes
362,65,0.9898880750897499,yes
363,663,0.0040456717081931316,yes
364,515,0.4552911724393612,yes
365,513,0.45972838651036313,yes
366,916,0.008943117575259797,yes
367,513,0.45972838651036313,yes
368,1381,0.017637235830123,yes
369,802,0.08026833030204797,yes
370,553,0.4552911724393612,yes
371,532,0.020164626754234197,yes
372,1287,0.0034187862187134046,yes
373,908,8.534093439328774E-4,yes
374,515,0.9839426969923932,yes
375,387,0.995463045211834,yes
376,1549,4.354241273102496E-10,yes
377,62,0.9546741395718049,yes
378,68,0.9960847084497262,yes
379,1306,1.0689381430002711E-7,yes
380,43,0.9984132974569417,no
381,107,0.942346413653996,no
382,61,0.9984132974569417,no
383,38,0.9984132974569417,no
384,32,0.9984132974569417,no
385,32,0.9984132974569417,no
386,32,0.9984132974569417,no
387,35,0.9984132974569417,no
388,30,0.9984132974569417,no
389,30,0.9984132974569417,no
390,49,0.986678577543939,no
391,49,0.9289297070337337,yes
392,59,0.9946773346710857,no
393,53,0.9981608488312683,no
394,57,0.9946773346710857,no
395,523,8.631350889326485E-88,yes
396,117,1.7285530983706494E-4,yes
397,71,0.18055947983771684,yes
398,120,0.7377886195218847,no
399,58,0.9967418227985468,no
400,145,0.1805007392379599,yes
401,43,0.9963422739398693,yes
402,52,0.9925378475978711,yes
403,99,0.9541628507067131,yes
404,166,0.8987151818868657,yes
405,31,0.9966951147027592,yes
406,165,0.9658552096562787,yes
407,31,0.9942966713415867,yes
408,157,0.2759150264024931,yes
409,83,0.996324131994327,yes
410,155,0.9001317665504052,yes
411,74,0.9041070761650286,yes
412,337,1.3640689011604584E-9,yes
413,41,0.9978067076310936,no
414,46,0.928462747578111,no
415,53,6.9123221023731E-4,yes
416,66,0.8584755366479301,yes
417,57,0.9952560098709969,yes
418,58,0.98657543053565,yes
419,105,0.9674452042559776,yes
420,59,0.98657543053565,yes
421,72,0.9924664923917035,no
422,64,0.9795051212498753,no
423,170,0.8857264995824546,no
424,34,0.9984132974569417,no
425,38,0.9984132974569417,no
426,41,0.9946773346710857,no
427,23,0.9984064643501334,no
428,22,0.9984064643501334,no
429,60,0.9984132974569417,no
430,24,0.9984064643501334,no
431,22,0.9984064643501334,no
432,55,0.9946773346710857,no
433,45,0.9946773346710857,no
434,50,0.9946773346710857,no
435,38,0.9984132974569417,no
436,31,0.9984064643501334,no
437,30,0.9972731136480978,no
438,31,0.9972731136480978,no
439,38,0.986678577543939,no
440,31,0.9972731136480978,no
441,32,0.9972731136480978,no
442,80,0.9963498676858309,no
443,82,0.998164674018025,no
444,202,0.657409028099761,no
445,40,0.9981608488312683,no
446,185,0.857041595949381,no
447,51,0.9963422739398693,no
448,31,0.9981608488312683,no
449,59,0.9678009623811846,yes
450,28,0.9981608488312683,no
451,93,0.8834075299450318,yes
452,25,0.9984064643501334,no
453,25,0.9984064643501334,no
454,33,0.9984132974569417,no
455,448,0.0054953755802997556,yes
456,54,0.9984132974569417,no
457,39,0.9978059146534335,no
458,40,0.9978059146534335,no
459,45,0.9984132974569417,no
460,58,0.9984132974569417,no
461,110,0.994688366543209,no
462,89,0.973357961355621,yes
463,57,0.9106630396091011,yes
464,89,0.5495992292428528,yes
465,52,0.994688366543209,no
466,219,0.9897920170929744,yes
467,125,0.9906567617501516,yes
468,346,0.9695207463492734,yes
469,98,0.9908421506587024,yes
470,343,0.9536353053713366,yes
471,296,0.9882197295350095,yes
472,47,0.9970682445480499,yes
473,284,0.375013986638168,yes
474,96,0.9304946375705417,yes
475,43,0.990965688879228,yes
476,47,0.9924664923917035,no
477,55,0.9978101872611428,yes
478,41,0.9890668395940055,yes
479,42,0.9963493863108837,yes
480,50,0.990965688879228,yes
481,41,0.9909668737198025,yes
482,61,0.5231005340870972,yes
483,45,0.990965688879228,yes
484,142,0.19665662508436074,yes
485,182,4.6097366591976474E-4,yes
486,94,0.6857437327438582,yes
487,163,0.004199092978655554,yes
488,56,0.990965688879228,yes
489,77,0.942346413653996,yes
490,120,0.5235878470486451,yes
491,77,0.997795016149626,yes
492,80,0.9036697069531101,yes
493,63,0.973357961355621,yes
494,175,0.7632441495166857,yes
495,57,0.7741040065491269,yes
496,171,0.9387230854823818,no
497,57,0.7741040065491269,yes
