ID, Size, Predicted, Actual
1,78,0.9903795485944453,no
2,302,0.9851652537768596,no
3,87,0.9739055755814093,no
4,198,0.9593106992906012,no
5,175,0.9795882926994557,no
6,65,0.9671302940359923,no
7,105,0.9862485219807641,no
8,58,0.997967343854346,no
9,196,0.9926472989894869,no
10,106,0.8602356338800669,no
11,130,0.9908388118174811,no
12,64,0.9918726307419528,no
13,132,0.9908104513496702,no
14,62,0.9961219108958231,no
15,108,0.7198920244592859,yes
16,432,0.9442935545070718,no
17,174,0.9958201159823904,no
18,246,0.99006031475171,no
19,106,0.906691860492645,no
20,121,0.9961143183429314,no
21,110,0.9974867815172541,no
22,58,0.9974882762145204,no
23,37,0.9974858460434464,no
24,77,0.9963311446163124,no
25,142,0.9963153923776863,no
26,114,0.9954557365628798,no
27,80,0.9963913821804884,no
28,59,0.9974882762145204,no
29,69,0.9910706120433923,no
30,95,0.9959875921749443,no
31,64,0.9907563285775295,no
32,164,0.9937886412909265,yes
33,70,0.9962420136503115,no
34,32,0.9974858460434464,no
35,148,0.9962945744336842,no
36,156,0.9962945744336842,no
37,119,0.9949755095248521,no
38,116,0.9876435963743804,no
39,93,0.9957484021264991,no
40,229,0.9587454925512572,yes
41,123,0.973824645928038,no
42,201,0.9795264055877955,no
43,180,0.9798019878565585,no
44,156,0.9934934199753076,no
45,98,0.9957484021264991,no
46,85,0.9700998217334948,yes
47,48,0.997967343854346,no
48,145,0.994753072957514,yes
49,145,0.9963702415685534,no
50,113,0.9977460643497875,no
51,260,0.8422837862461797,no
52,610,0.005964382025400022,yes
53,39,0.9954690404188317,no
54,39,0.9974304920667478,no
55,39,0.9974304920667478,no
56,24,0.9974265071265795,no
57,62,0.9962490234772484,no
58,77,0.9954751472653103,no
59,77,0.9974339620749932,no
60,54,0.9974329756050578,no
61,92,0.9786357246286733,no
62,58,0.9974329756050578,no
63,24,0.9974265071265795,no
64,64,0.9974329756050578,no
65,216,0.995413204604889,no
66,36,0.9974304920667478,no
67,36,0.9974304920667478,no
68,208,0.996855957309384,no
69,39,0.9970704905941323,no
70,47,0.9970750251935647,no
71,74,0.9974339620749932,no
72,71,0.9954751472653103,no
73,56,0.9450475968944053,yes
74,44,0.9954734111795503,no
75,55,0.9487927487877349,yes
76,53,0.9876675356486744,no
