ID, Size, Predicted, Actual
1,78,0.9999999814575895,no
2,302,0.9999996502181004,no
3,87,0.999999959289639,no
4,198,0.999999334682193,no
5,175,0.9999998649984899,no
6,65,0.9999999257896848,no
7,105,0.9999999487976085,no
8,58,0.9999999957450223,no
9,196,0.9999999709910882,no
10,106,0.9999992972124669,no
11,130,0.9999999810837947,no
12,64,0.9999999859075773,no
13,132,0.9999999799433039,no
14,62,0.9999999917581734,no
15,108,0.9999968589090849,yes
16,432,0.9999332320053499,no
17,174,0.9999999870500338,no
18,246,0.9999998382474727,no
19,106,0.9999997185778113,no
20,121,0.9999999928103636,no
21,110,0.9999999957290943,no
22,58,0.9999999956242835,no
23,37,0.9999999933090655,no
24,77,0.9999999928110305,no
25,142,0.9999999925356644,no
26,114,0.9999999925702926,no
27,80,0.9999999932868887,no
28,59,0.9999999956242835,no
29,69,0.9999999770058847,no
30,95,0.9999999926185338,no
31,64,0.999999980488272,no
32,164,0.9999999906695906,yes
33,70,0.9999999934281266,no
34,32,0.999999992581246,no
35,148,0.9999999919925749,no
36,156,0.9999999905145925,no
37,119,0.9999999909226631,no
38,116,0.9999999694324816,no
39,93,0.9999999904398836,no
40,229,0.9999998868418127,yes
41,123,0.999999869226772,no
42,201,0.9999994963617911,no
43,180,0.9999997219476543,no
44,156,0.9999999878883389,no
45,98,0.9999999904858792,no
46,85,0.9999998442153388,yes
47,48,0.9999999937761971,no
48,145,0.9999999907924706,yes
49,145,0.999999992997647,no
50,113,0.9999999960446164,no
51,260,0.9999973645726906,no
52,610,3.4038105695194364E-8,yes
53,39,0.9999999885217156,no
54,39,0.9999999937338021,no
55,39,0.9999999937338021,no
56,24,0.9999999933404227,no
57,62,0.9999999931475206,no
58,77,0.9999999932282904,no
59,77,0.9999999957594852,no
60,54,0.9999999945141256,no
61,92,0.9999999705624706,no
62,58,0.9999999959197379,no
63,24,0.9999999933404227,no
64,64,0.999999995995854,no
65,216,0.999999942604073,no
66,36,0.999999993684912,no
67,36,0.999999993684912,no
68,208,0.9999999499811135,no
69,39,0.999999991697754,no
70,47,0.9999999919625764,no
71,74,0.9999999958478402,no
72,71,0.9999999932244442,no
73,56,0.9999997452438176,yes
74,44,0.9999999888387582,no
75,55,0.9999998484678349,yes
76,53,0.9999999609105485,no
