ID, Size, Predicted, Actual
1,111,1.0,no
2,22,1.0,no
3,75,1.0,no
4,131,1.0,no
5,74,0.99,no
6,84,1.0,no
7,70,1.0,no
8,57,1.0,no
9,70,1.0,no
10,59,1.0,no
11,88,1.0,no
12,40,1.0,no
13,99,1.0,no
14,187,1.0,no
15,196,1.0,no
16,192,1.0,no
17,97,1.0,no
18,98,1.0,no
19,96,1.0,no
20,173,1.0,no
21,141,1.0,no
22,142,1.0,no
23,188,1.0,no
24,90,1.0,no
25,110,1.0,no
26,62,1.0,no
27,61,1.0,no
28,120,1.0,no
29,116,1.0,no
30,58,1.0,no
31,74,1.0,no
32,112,0.08,yes
33,47,0.07326086956521739,yes
34,77,0.9770833333333333,no
35,65,0.76,no
36,74,0.8066666666666665,no
37,83,0.3502857142857143,no
38,128,0.74,no
39,72,1.0,no
40,76,1.0,no
41,69,1.0,no
42,83,1.0,no
43,65,0.99,no
44,88,1.0,no
45,40,1.0,no
46,86,1.0,no
47,89,1.0,no
48,49,1.0,no
49,102,1.0,no
50,94,1.0,no
51,72,1.0,no
52,60,1.0,no
53,76,1.0,no
54,92,0.99,no
55,96,1.0,no
56,70,1.0,no
57,86,1.0,no
58,101,1.0,no
59,169,1.0,no
60,115,1.0,no
61,153,1.0,no
62,58,1.0,no
63,47,1.0,no
64,49,1.0,no
65,58,1.0,no
66,70,1.0,no
67,141,1.0,no
68,93,1.0,no
69,273,1.0,no
70,96,1.0,no
71,50,1.0,no
72,241,0.99,no
73,195,1.0,no
74,131,1.0,no
75,170,1.0,no
76,161,0.9966666666666667,no
77,102,1.0,no
78,150,1.0,no
79,65,1.0,no
80,88,1.0,no
81,40,1.0,no
82,57,1.0,no
83,39,1.0,no
84,85,1.0,no
85,93,1.0,no
86,87,1.0,no
87,81,1.0,no
88,95,0.99,no
89,66,1.0,no
90,94,1.0,no
91,76,1.0,no
92,116,1.0,no
93,56,1.0,no
94,48,1.0,no
95,71,1.0,no
96,45,1.0,no
97,45,1.0,no
98,30,1.0,no
99,74,1.0,no
100,299,1.0,no
101,82,1.0,no
102,197,1.0,no
103,173,1.0,no
