ID, Size, Predicted, Actual
1,78,0.95,no
2,302,0.955,no
3,87,0.9129761904761905,no
4,198,0.8861507936507936,no
5,175,0.9011111111111112,no
6,65,0.8245595238095238,no
7,105,0.946,no
8,58,0.8953030303030303,no
9,196,0.9307142857142857,no
10,106,0.7621515151515151,no
11,130,0.96,no
12,64,0.9325757575757575,no
13,132,0.9725,no
14,62,0.846926406926407,no
15,108,0.9447222222222222,no
16,432,0.94,no
17,174,1.0,no
18,246,0.8899285714285715,no
19,106,0.9086666666666666,no
20,121,0.985,no
21,110,0.9473333333333334,no
22,58,0.9825,no
23,37,1.0,no
24,77,0.9537142857142856,no
25,142,1.0,no
26,114,0.973,no
27,80,1.0,no
28,59,1.0,no
29,69,0.8346666666666667,no
30,95,1.0,no
31,64,0.8754967948717949,no
32,164,1.0,no
33,70,0.9366666666666668,no
34,32,0.9928571428571429,no
35,148,0.99875,no
36,156,0.9920833333333333,no
37,119,0.9942857142857143,no
38,116,0.934,no
39,93,1.0,no
40,256,0.8941666666666667,yes
41,123,0.92,no
42,201,0.962857142857143,no
43,180,0.9258333333333333,no
44,156,1.0,no
45,98,1.0,no
46,86,0.99,no
47,48,0.7736111111111111,no
48,143,0.97,no
49,145,0.961,no
50,113,1.0,no
51,260,0.7565238095238095,no
52,618,0.4,no
53,39,0.31154753579753575,no
54,39,1.0,no
55,39,1.0,no
56,24,1.0,no
57,62,1.0,no
58,77,0.3027640415140415,no
59,77,1.0,no
60,54,1.0,no
61,92,0.18582539682539678,no
62,58,1.0,no
63,24,1.0,no
64,64,1.0,no
65,216,0.3127973137973138,no
66,36,1.0,no
67,36,1.0,no
68,208,1.0,no
69,64,0.8733333333333333,no
70,39,0.2558412698412698,no
71,47,0.25147095959595944,no
72,74,1.0,no
73,71,0.23987432012432017,no
74,123,0.84125,no
75,44,0.2734255466755468,no
76,122,0.840250626566416,no
77,53,0.714964035964036,no
78,242,0.0,no
79,44,0.7004276315789474,no
80,171,0.98,no
81,511,0.8988076923076923,no
82,128,0.9582857142857142,no
83,178,0.8095357142857142,no
84,130,0.3864285714285714,no
85,460,0.45881818181818174,no
86,201,0.8541666666666667,no
87,116,0.9304285714285715,no
88,225,1.0,no
89,42,1.0,no
90,44,1.0,no
91,94,1.0,no
92,136,1.0,no
93,27,1.0,no
94,47,1.0,no
95,60,1.0,no
96,58,0.8601785714285713,no
97,56,1.0,no
98,205,0.8901038961038961,no
99,54,0.7519761904761905,no
100,49,0.1654908424908426,no
101,32,0.4653181818181818,no
102,43,0.5925959595959597,no
103,111,0.72591341991342,no
104,29,0.99,no
105,49,0.839563492063492,no
106,78,0.8161715686274509,no
107,45,1.0,no
108,31,1.0,no
109,30,0.8466002886002886,no
110,36,0.97,no
111,43,0.8496230158730158,no
112,60,0.09600505050505052,no
113,85,0.10007972582972582,no
114,92,1.0,no
115,156,0.0,no
116,98,0.10298088023088023,no
117,131,0.0,no
118,194,0.07486507936507937,no
119,201,0.13048556998557,no
120,69,0.10580194805194809,no
121,68,0.15677056277056278,no
122,52,0.21155952380952378,no
123,50,0.17656998556998557,no
124,202,0.08291341991341995,no
125,73,1.0,no
126,42,1.0,no
127,35,1.0,no
128,125,1.0,no
129,65,0.952857142857143,no
130,48,0.917031328320802,no
131,89,1.0,no
132,153,0.9420000000000001,no
133,40,0.99,no
134,64,0.17004509379509383,no
135,99,0.18083802308802308,no
136,73,0.18553174603174602,no
137,72,0.14845021645021653,no
138,51,0.0847420634920635,no
139,36,0.9925,no
140,31,0.04929484404484407,no
141,61,0.10232972582972584,no
142,74,0.08572619047619053,no
143,101,0.18689862914862926,no
144,86,0.08276587301587306,no
145,106,0.11305555555555558,no
146,91,0.08175696525696528,no
147,58,0.0998174603174603,no
148,106,0.09151190476190478,no
149,143,0.0,no
150,52,0.0,no
151,88,0.09726262626262627,no
152,66,0.0,no
153,44,0.8566904761904761,no
154,158,0.8835526315789474,no
155,51,0.8438571428571429,no
156,36,0.9925,no
157,63,0.8463578643578644,no
158,36,0.29076250138750126,no
159,43,0.1705050505050506,no
160,81,0.17421933621933622,no
161,75,0.17248015873015876,no
162,81,0.1843921078921079,no
163,88,0.2068544788544788,no
164,42,0.14829004329004328,no
165,82,0.8419444444444444,no
166,55,0.19029365079365082,no
167,48,0.8745904095904097,no
168,72,1.0,no
169,113,0.1844781884781885,no
170,55,0.1697539682539683,no
171,35,0.2216388611388611,no
172,47,0.29776667776667776,no
173,101,0.0,no
174,109,1.0,no
175,28,0.2583788433788434,no
176,54,0.07225851328753809,no
177,158,0.0,no
178,52,0.018351696365160496,no
179,53,0.022763997379270293,no
180,81,0.022185841872425078,no
181,83,0.0,no
182,63,0.0,no
183,48,0.054948789858606115,no
184,55,0.0,no
185,149,0.0,no
186,263,0.0,no
187,179,0.04621955821955823,no
188,37,0.054846519064011286,no
189,25,0.04341260536848772,no
190,30,0.0,no
191,36,0.04813576701076703,no
192,30,0.08256236247412721,no
193,27,0.10578699078699082,no
194,37,0.09002937705569289,no
195,33,0.09117178654678652,no
196,31,0.08580797388885628,no
197,56,0.0960131042847761,no
198,101,0.06465771248277304,no
199,139,0.04518338605838606,no
200,85,0.04922001098316888,no
201,95,0.06786456843809785,no
202,60,0.03803032137281365,no
203,35,0.09762047674547675,no
204,26,0.0381391230888135,no
205,69,0.0,no
206,64,0.034720448239411096,no
207,39,0.03130234484297953,no
208,41,0.08914234512763929,no
209,167,0.0,no
210,66,0.03494291814996152,no
211,93,0.049147102897102904,no
212,86,0.56,no
213,117,0.08177561327561331,no
214,90,0.0,no
215,48,0.18396139971139971,no
216,85,0.884,no
217,43,0.21089321789321788,no
218,90,0.24507128982128978,no
219,202,1.0,no
220,141,0.8448717948717949,no
221,30,1.0,no
222,29,1.0,no
223,67,0.14931746031746027,no
224,242,0.27435678210678205,no
225,72,0.631769092019092,no
226,50,0.06203610156837376,no
227,89,0.2582034632034631,no
228,40,0.06454075027140047,no
229,49,0.21999639249639238,no
230,249,0.0,no
231,40,0.2063354423354423,no
232,171,0.09087909720997953,no
233,40,0.24306060606060595,no
234,32,0.26863347763347767,no
235,271,1.0,no
236,55,0.99,no
237,80,0.8135093795093795,no
238,28,0.9295,no
239,44,0.9816666666666667,no
240,83,0.8665324675324675,no
241,67,0.8190000000000001,no
242,36,0.98,no
243,384,0.1847777777777778,no
244,196,0.2292698412698413,no
245,312,0.22526839826839823,no
246,120,0.1691190476190477,no
247,315,0.0,no
248,112,0.11057178932178933,no
249,119,0.0994761904761905,no
250,146,0.0904603174603175,no
251,86,0.1340865098953334,no
252,69,0.3144537962037962,no
253,88,0.11081238201942534,no
254,42,0.124499766573296,no
255,32,0.13739065348905283,no
256,56,0.20663492063492064,no
257,102,0.8596515151515152,no
258,56,0.09757178932178935,no
259,89,0.09475144300144302,no
260,40,0.09561263736263739,no
261,80,0.08058730158730162,no
262,46,0.13372425952838543,no
263,46,0.140694486737914,no
264,68,0.0,no
265,80,0.10055555555555556,no
266,66,0.07826587301587305,no
267,100,1.0,no
268,32,0.98,no
269,31,0.08406746031746036,no
270,36,0.09528968253968258,no
271,59,0.06947366522366526,no
272,44,0.9111111111111111,no
273,29,0.914,no
274,280,0.29965320790320793,no
275,67,0.08667857142857145,no
276,60,0.9373809523809524,no
277,46,0.9429016516516516,no
278,133,1.0,no
279,333,1.0,no
280,36,1.0,no
281,44,1.0,no
282,823,0.4618333333333333,no
283,26,0.99,no
284,70,1.0,no
285,213,1.0,no
286,192,0.049167110667110665,no
287,562,0.0,no
288,46,0.2773109113109113,no
289,31,0.30500505050505056,no
290,83,0.3069963647463648,no
291,71,0.23577922077922076,no
292,83,0.13002053192765267,no
293,40,0.29878302253302247,no
294,32,0.13739065348905283,no
295,57,0.2214339826839827,no
296,97,0.9163181818181819,no
297,64,0.08765254190254196,no
298,94,0.10078085803085803,no
299,45,0.09465664521237273,no
300,98,0.08849472749472752,no
301,46,0.13372425952838543,no
302,46,0.140694486737914,no
303,337,0.0,no
304,143,0.08626564122152358,no
305,81,0.07256690531690532,no
306,132,0.10429818994215281,no
307,162,0.02,no
308,85,0.0,no
309,454,0.0,no
310,316,0.0,yes
311,49,0.03321487254575492,no
312,32,0.09618650793650795,no
313,64,0.0,no
314,105,0.0,no
315,82,0.0,no
316,111,0.10117095404595412,no
317,42,0.07895634920634922,no
318,63,0.0,no
319,235,0.043619172494172485,no
320,75,0.22280022755022752,no
321,43,0.08987108153284622,no
322,33,0.07571255030659055,no
323,66,0.0466667082917083,no
324,99,0.048206127206127214,no
325,40,0.08148412638086554,no
326,160,0.036176414057219025,no
327,40,0.08702398478714272,no
328,32,0.08243056943056941,no
329,593,0.7951785714285714,yes
330,328,0.6631303418803419,yes
331,101,0.8734354066985647,no
332,281,0.875,no
333,72,0.9008333333333333,no
334,121,0.8105,yes
335,35,0.94,yes
336,154,0.950595238095238,yes
337,61,0.8619820544952124,yes
338,58,1.0,no
339,32,0.9514285714285714,no
340,78,0.8131825396825397,no
341,36,0.5179087301587302,no
342,102,0.8648431372549019,no
343,403,0.4094155844155844,yes
344,71,0.38,no
345,76,0.93,no
346,124,0.8900876623376623,no
347,86,0.9445238095238095,no
348,25,0.98,no
349,41,0.977,no
350,213,0.7423015873015874,no
351,98,0.8895833333333333,no
352,200,0.8895000000000001,yes
353,29,1.0,no
354,75,0.8414166666666667,no
355,44,0.8741847826086956,no
356,56,0.7814235209235209,yes
357,43,1.0,no
358,240,0.8315665584415584,no
359,285,0.7850990300549124,no
360,27,1.0,no
361,38,0.9740000000000001,no
362,27,1.0,no
363,41,0.988125,no
364,88,0.8334603873960651,no
365,28,0.97,no
366,364,0.7146309523809523,no
367,50,0.7328571428571429,no
368,52,0.77705291005291,no
369,38,1.0,no
370,52,0.9716666666666667,no
371,38,1.0,no
372,43,0.971,no
373,47,0.8755858847035317,yes
374,50,0.8533333333333333,no
375,25,1.0,no
376,113,0.8374358974358975,no
377,36,1.0,no
378,116,0.94,no
379,178,0.8667857142857143,no
380,48,0.972,no
381,32,0.99,no
382,34,1.0,no
383,48,0.9828571428571429,no
384,49,0.9634285714285714,no
385,26,1.0,no
386,51,0.9109523809523811,no
387,31,0.99,no
388,116,0.955,no
389,26,1.0,no
390,30,1.0,no
391,40,0.99,no
392,60,0.7979523809523809,yes
393,49,0.9716666666666667,no
394,58,0.8122045454545455,no
395,37,1.0,no
396,289,0.7806332972582973,no
397,102,0.7623499278499278,no
398,63,1.0,no
399,31,0.99,no
400,84,0.9114924242424242,no
401,41,0.99,no
402,28,1.0,no
403,34,1.0,no
404,26,1.0,no
405,39,0.959095238095238,no
406,164,0.9296428571428571,no
407,48,0.9463690476190476,no
408,133,0.8689505772005772,no
409,108,0.942857142857143,no
410,111,0.9714285714285714,no
411,73,0.846952380952381,no
412,449,0.8493248973248974,no
413,84,0.9228571428571429,no
414,38,0.9814285714285714,no
415,95,0.9648095238095238,no
416,118,0.98,no
417,79,0.23458150183150175,no
418,60,0.1936240981240981,no
419,56,0.7136478798978798,no
420,119,0.9226785714285713,no
421,76,0.80125,no
422,87,0.6572800255300255,no
423,38,0.982,no
424,39,0.973,no
425,38,0.972,no
426,40,0.896520202020202,no
427,41,0.893,no
428,97,0.8071014492753623,no
429,42,0.9200198412698413,no
430,34,0.8845238095238095,no
431,36,0.99,no
432,41,0.972,no
433,44,1.0,no
434,37,0.99,no
435,107,0.7657063492063492,no
436,334,1.0,no
437,67,1.0,no
438,88,1.0,no
439,64,1.0,no
440,34,1.0,no
441,37,0.98,no
442,71,1.0,no
443,262,1.0,no
444,97,1.0,no
445,35,1.0,no
446,85,1.0,no
447,49,1.0,no
448,102,1.0,no
449,119,0.9745,no
450,39,0.9701904761904762,no
