ID, Size, Predicted, Actual
1,78,0.49610317460317455,no
2,87,0.6850674603174604,no
3,198,1.0,no
4,175,1.0,no
5,68,0.7512976190476192,no
6,105,1.0,no
7,58,0.7216507936507937,no
8,196,0.7214285714285715,no
9,101,0.9596666666666667,yes
10,130,0.7685952380952382,yes
11,64,0.757936951936952,no
12,132,0.9975,yes
13,185,1.0,no
14,432,1.0,no
15,174,0.7293326118326119,no
16,246,0.7512738095238095,no
17,107,0.7565119047619047,no
18,121,0.9983333333333333,no
19,110,0.30172294372294367,no
20,58,0.7703928571428571,no
21,37,0.7478090243090243,no
22,77,0.3654285714285715,no
23,142,0.2983690476190476,no
24,114,0.7520436507936509,no
25,59,0.7677366522366521,no
26,64,0.757936951936952,no
27,164,0.7435833333333334,no
28,70,0.7255674603174603,no
29,32,0.777888888888889,no
30,148,0.7619040404040406,no
31,156,0.7408302947052948,no
32,119,0.7420277777777777,no
33,118,0.7708849206349206,no
34,229,1.0,no
35,156,0.7408302947052948,no
36,85,0.7265436507936507,no
37,48,0.7682300477300479,no
38,264,0.998,yes
39,615,1.0,yes
40,39,1.0,yes
41,39,1.0,no
42,39,1.0,no
43,24,1.0,no
44,62,1.0,no
45,77,1.0,yes
46,77,1.0,no
47,54,1.0,no
48,92,1.0,yes
49,58,1.0,no
50,24,1.0,no
51,64,1.0,no
52,216,0.9977777777777778,yes
53,36,1.0,no
54,36,1.0,no
55,208,1.0,no
56,39,1.0,yes
57,47,1.0,yes
58,74,1.0,no
59,71,1.0,yes
60,56,1.0,yes
61,44,1.0,yes
62,55,1.0,yes
63,46,1.0,no
64,65,1.0,no
65,37,1.0,yes
66,100,0.5456666666666666,yes
67,128,1.0,no
68,471,0.9904999999999999,yes
69,131,1.0,no
70,127,1.0,yes
71,112,1.0,no
72,221,1.0,no
73,36,1.0,no
74,44,1.0,no
75,130,1.0,no
76,42,1.0,no
77,60,1.0,no
78,37,0.975,yes
79,49,1.0,yes
80,30,0.99,yes
81,39,1.0,yes
82,80,1.0,yes
83,29,1.0,no
84,36,1.0,no
85,60,1.0,yes
86,85,0.995,yes
87,92,1.0,no
88,199,0.9893333333333334,yes
89,98,1.0,yes
90,133,0.9983333333333333,yes
91,194,0.986,yes
92,201,0.9858333333333333,yes
93,69,0.998,yes
94,68,0.9833333333333333,yes
95,52,1.0,yes
96,50,1.0,yes
97,202,0.9942857142857143,yes
98,73,1.0,no
99,42,1.0,no
100,35,1.0,no
101,123,1.0,no
102,65,0.9833333333333333,no
103,48,0.9957142857142857,no
104,89,1.0,no
105,153,0.9807597402597402,no
106,40,1.0,no
107,64,1.0,yes
108,99,1.0,yes
109,73,0.988,yes
110,72,1.0,yes
111,57,1.0,no
112,36,1.0,no
113,31,0.9971428571428571,yes
114,86,1.0,yes
115,39,1.0,no
116,74,1.0,no
117,101,0.9881666666666666,yes
118,51,1.0,no
119,107,1.0,no
120,153,1.0,no
121,118,1.0,no
122,68,0.9854761904761905,yes
123,36,1.0,yes
124,43,0.9896666666666667,yes
125,81,0.9883333333333333,yes
126,75,0.99,yes
127,81,0.983,yes
128,88,1.0,yes
129,42,0.981,yes
130,82,0.9975,no
131,55,1.0,yes
132,48,1.0,no
133,72,1.0,no
134,113,0.9954999999999999,yes
135,55,0.9911111111111112,yes
136,35,0.9966666666666667,yes
137,47,1.0,yes
138,101,0.692797619047619,yes
139,109,1.0,no
140,28,0.965,yes
141,54,0.6938333333333334,no
142,158,0.6735555555555556,yes
143,52,0.6579999999999999,yes
144,53,0.6910833333333334,yes
145,81,0.7251190476190476,yes
146,83,0.699297619047619,yes
147,63,0.6774761904761905,yes
148,48,0.7110992063492064,no
149,55,0.6916944444444444,yes
150,149,0.6028333333333333,yes
151,263,0.7069523809523811,yes
152,179,0.6658055555555555,no
153,37,0.733702380952381,no
154,25,0.6349404761904762,no
155,30,0.6894166666666667,yes
156,36,0.7126666666666667,no
157,30,0.6748650793650793,no
158,27,0.6768095238095239,no
159,37,0.7215476190476191,no
160,33,0.7345595238095237,no
161,31,0.6930357142857143,no
162,56,0.6746507936507936,no
163,101,0.6597857142857143,no
164,139,0.6486031746031745,no
165,85,0.6527261904761904,no
166,95,0.6681309523809524,no
167,60,0.6481190476190477,yes
168,35,0.6946071428571429,no
169,26,0.6993611111111111,no
170,69,0.680515873015873,yes
171,64,0.7208809523809523,yes
172,39,0.6723690476190476,yes
173,41,0.6717936507936508,no
174,167,0.6832539682539682,yes
175,66,0.7,yes
176,93,0.6990079365079365,no
177,78,0.9583333333333333,yes
178,134,0.6477936507936507,yes
179,83,0.6501190476190476,yes
180,48,0.9975,yes
181,85,0.9966666666666667,no
182,43,0.9985714285714287,yes
183,90,1.0,yes
184,202,1.0,no
185,135,1.0,no
186,30,1.0,no
187,29,1.0,no
188,67,0.982,no
189,242,1.0,yes
190,64,0.9932142857142857,yes
191,50,1.0,no
192,89,0.9966666666666667,yes
193,40,1.0,no
194,49,0.9942857142857143,yes
195,249,0.9871428571428571,yes
196,40,1.0,yes
197,171,0.6978333333333333,yes
198,40,0.998,yes
199,32,1.0,yes
200,384,1.0,yes
201,196,1.0,yes
202,312,1.0,yes
203,120,1.0,yes
204,263,0.5451547619047619,yes
205,145,0.9975,yes
206,126,0.4521904761904763,yes
207,143,0.5252976190476191,yes
208,86,0.7341691919191917,yes
209,69,0.7028055555555555,yes
210,88,0.7548690476190476,yes
211,42,0.7499065934065934,yes
212,32,0.7325097402597404,yes
213,56,0.741404761904762,yes
214,51,0.7261746031746031,yes
215,81,0.7427171717171717,yes
216,35,0.768527417027417,yes
217,72,1.0,yes
218,46,0.7687317959817961,yes
219,46,0.7357276057276056,yes
220,44,0.7634126984126984,no
221,29,0.7446666666666667,no
222,280,1.0,yes
223,63,0.2724206349206348,yes
224,562,0.5225833333333333,yes
225,46,0.758718031968032,yes
226,31,0.7991771284271284,yes
227,83,0.724309523809524,no
228,71,0.774718253968254,yes
229,83,0.7368492063492064,yes
230,40,0.7455,no
231,32,0.7325097402597404,yes
232,57,0.7588769841269841,yes
233,64,0.7577301587301588,yes
234,94,0.7044671717171717,yes
235,45,0.7462500000000001,yes
236,98,0.988,yes
237,46,0.7687317959817961,yes
238,46,0.7357276057276056,yes
239,337,0.6497077922077923,yes
240,143,0.6567261904761905,yes
241,81,0.732904761904762,yes
242,132,0.6906190476190476,yes
243,157,0.6439365079365079,yes
244,76,0.7167738095238095,yes
245,419,0.6912619047619047,yes
246,306,0.673531746031746,yes
247,48,0.6880714285714286,yes
248,31,0.6829285714285714,yes
249,64,0.7096428571428571,yes
250,105,0.6834285714285715,yes
251,82,0.6586190476190475,yes
252,111,0.6879285714285716,no
253,43,1.0,yes
254,63,0.9983333333333333,yes
255,235,0.683404761904762,no
256,75,0.7304285714285714,no
257,43,0.721797619047619,yes
258,33,0.7019047619047619,yes
259,66,0.6764880952380953,yes
260,99,0.6616461038961039,yes
261,40,0.6653214285714286,yes
262,160,0.6597142857142858,yes
263,40,0.6352380952380952,yes
264,32,0.7156666666666668,yes
265,86,0.7906738816738818,no
266,25,0.7553961038961039,no
267,213,0.2792261904761905,no
268,98,0.7316973304473305,no
269,184,1.0,yes
270,29,0.7759801587301588,no
271,29,0.9975,yes
272,53,0.27090476190476187,no
273,43,0.7844126984126985,no
274,207,0.6593520923520924,no
275,275,0.23992857142857144,yes
276,27,0.7511031746031747,yes
277,38,0.7500992063492063,yes
278,27,0.9915151515151516,yes
279,41,0.9938888888888888,yes
280,87,0.7279404761904762,no
281,28,0.7796944444444445,no
282,316,0.2566309523809524,yes
283,47,0.7439285714285715,no
284,52,0.7601666666666667,no
285,38,0.7606468253968255,no
286,52,0.6982261904761905,no
287,38,0.7580436507936508,yes
288,43,0.995,yes
289,48,0.995,yes
290,50,0.7045952380952382,yes
291,25,1.0,no
292,113,0.7889642857142857,no
293,36,0.7521861471861472,no
294,116,0.7622261904761904,yes
295,178,0.2964380341880341,no
296,48,1.0,no
297,32,1.0,no
298,34,1.0,no
299,26,1.0,no
300,51,0.70758658008658,no
301,31,0.6827896825396826,no
302,112,0.7426071428571429,no
303,26,0.7414393939393938,no
304,30,0.7635119047619048,no
305,40,0.7646428571428572,no
306,60,0.7144184704184705,no
307,49,0.7778849206349207,no
308,58,0.6934285714285714,no
309,37,0.7478090243090243,no
310,287,0.2633961038961039,no
311,102,1.0,no
312,63,1.0,no
313,31,1.0,no
314,84,0.7414754689754689,no
315,41,1.0,no
316,28,1.0,no
317,34,1.0,no
318,26,1.0,no
319,79,1.0,yes
320,60,1.0,yes
321,109,0.7154761904761904,yes
322,133,0.9741666666666667,yes
323,121,0.9941666666666668,yes
324,131,1.0,no
325,163,1.0,yes
326,65,0.985,no
327,53,1.0,no
328,37,0.9884999999999999,no
329,76,0.9743333333333334,no
330,70,1.0,no
331,43,0.973215811965812,yes
332,29,1.0,no
333,24,1.0,no
334,41,0.99625,yes
335,137,0.99,yes
336,95,1.0,yes
337,96,1.0,yes
338,56,0.9876666666666667,no
339,40,0.995,yes
340,350,0.6522380952380953,yes
341,112,0.6896904761904762,yes
342,71,0.6758116883116884,no
343,93,0.6525714285714286,no
344,381,0.7134047619047619,yes
345,115,0.6459999999999999,yes
346,69,0.6836190476190477,no
347,98,0.6703809523809523,no
348,136,0.9933333333333333,yes
349,59,1.0,no
350,30,1.0,no
351,42,0.9975,yes
352,182,1.0,yes
353,160,1.0,yes
354,32,1.0,yes
355,24,1.0,no
356,50,1.0,no
357,50,1.0,no
358,63,1.0,no
359,116,1.0,no
360,182,1.0,no
361,69,1.0,no
362,27,0.995,no
363,67,0.9966666666666667,yes
364,44,1.0,yes
365,33,1.0,yes
366,72,1.0,no
367,89,1.0,no
368,304,1.0,no
369,2182,0.18222111222111217,yes
370,36,1.0,no
371,32,1.0,no
372,49,1.0,no
373,27,1.0,no
