ID, Size, Predicted, Actual
1,111,0.9875,no
2,22,1.0,no
3,75,1.0,no
4,131,0.9975,no
5,74,0.9988888888888888,no
6,84,1.0,no
7,70,1.0,no
8,57,1.0,no
9,70,1.0,no
10,59,1.0,no
11,88,1.0,no
12,40,1.0,no
13,99,1.0,no
14,187,1.0,no
15,196,1.0,no
16,192,1.0,no
17,97,1.0,no
18,98,1.0,no
19,96,1.0,no
20,173,1.0,no
21,141,0.9966666666666667,no
22,142,0.9966666666666667,no
23,188,0.99,no
24,90,1.0,no
25,110,0.99,no
26,62,1.0,no
27,61,1.0,no
28,120,1.0,no
29,116,1.0,no
30,58,1.0,no
31,74,1.0,no
32,75,1.0,no
33,49,1.0,no
34,102,1.0,no
35,62,1.0,no
36,107,0.99,no
37,51,1.0,no
38,43,1.0,no
39,73,0.995,yes
40,42,0.9575,yes
41,82,1.0,no
42,83,0.9766666666666667,yes
43,466,0.9675,no
44,106,1.0,no
45,119,0.97,yes
46,332,0.955,yes
47,91,1.0,no
48,84,1.0,no
49,123,1.0,no
50,263,1.0,no
51,99,1.0,yes
52,259,0.98,yes
53,1066,1.0,yes
54,137,1.0,no
55,151,1.0,yes
56,121,0.97,yes
57,122,1.0,no
58,107,1.0,no
59,83,0.9783333333333333,yes
60,288,0.9933333333333333,yes
61,504,1.0,yes
62,72,1.0,no
63,76,1.0,no
64,69,1.0,no
65,83,0.9975,no
66,65,0.98,no
67,88,1.0,no
68,40,1.0,no
69,86,0.9916666666666667,no
70,89,1.0,no
71,49,1.0,no
72,102,1.0,no
73,94,1.0,no
74,72,1.0,no
75,60,1.0,no
76,76,0.99,no
77,92,0.995,no
78,96,0.9883333333333333,no
79,70,1.0,no
80,86,0.9983333333333333,no
81,101,1.0,no
82,169,0.975,no
83,115,0.9834999999999999,no
84,153,0.9933333333333333,no
85,58,1.0,no
86,47,1.0,no
87,49,1.0,no
88,58,1.0,no
89,70,1.0,no
90,141,1.0,no
91,93,1.0,no
92,273,0.998,no
93,96,0.9490000000000001,no
94,50,1.0,no
95,241,1.0,no
96,195,0.975,no
97,131,0.99,no
98,170,0.9791666666666667,no
99,161,0.99,no
100,102,0.9875,no
101,150,0.99,no
102,65,0.9788333333333334,no
103,88,1.0,no
104,40,1.0,no
105,57,1.0,no
106,39,1.0,no
107,85,0.995,no
108,93,0.955,no
109,87,0.9975,no
110,81,1.0,no
111,95,0.9658333333333333,no
112,66,1.0,no
113,94,0.99,no
114,76,1.0,no
115,116,1.0,no
116,56,1.0,no
117,48,1.0,no
118,71,1.0,no
119,45,0.995,no
120,45,0.99,no
121,30,1.0,no
122,74,0.99,no
123,299,1.0,no
124,82,0.9825,no
125,197,1.0,no
126,173,1.0,no
127,84,1.0,no
128,75,0.9966623376623376,no
129,65,0.9641666666666667,no
130,96,1.0,no
131,176,1.0,no
132,193,1.0,no
133,157,0.99,no
134,88,1.0,no
135,67,1.0,no
136,92,1.0,no
137,56,1.0,no
138,102,1.0,yes
139,138,0.99,no
140,106,0.99,no
141,174,0.9771666666666667,no
142,244,1.0,no
143,101,0.99,yes
144,113,1.0,no
145,110,1.0,no
146,58,1.0,no
147,37,1.0,no
148,77,1.0,no
149,142,1.0,no
150,118,1.0,no
151,80,1.0,no
152,59,0.99,no
153,69,1.0,no
154,95,1.0,no
155,97,1.0,no
156,82,0.985,no
157,67,0.99,no
158,110,1.0,no
159,103,1.0,no
160,111,0.99,no
161,82,1.0,no
162,56,0.98,no
163,73,1.0,no
164,100,1.0,no
165,70,1.0,no
166,32,1.0,no
167,148,1.0,no
168,156,1.0,no
169,119,1.0,no
170,116,1.0,no
171,73,0.99,yes
172,84,1.0,no
173,122,0.9933333333333333,no
174,191,1.0,no
175,170,1.0,no
176,153,1.0,no
177,78,1.0,no
178,84,0.9925,yes
179,140,0.96,no
180,127,0.9666666666666667,no
181,30,1.0,no
182,80,1.0,no
183,45,1.0,no
184,63,1.0,no
185,141,0.99,no
186,81,0.99,no
187,45,0.99,no
188,63,0.999090909090909,no
189,190,0.98,no
190,74,0.9875,no
191,47,1.0,no
192,65,1.0,no
193,253,1.0,no
194,32,1.0,no
195,66,0.99,no
196,56,1.0,no
197,137,1.0,no
198,59,1.0,no
199,61,1.0,no
200,86,1.0,no
201,93,1.0,no
202,157,0.8343333333333333,no
203,99,1.0,no
204,132,0.8321666666666667,no
205,212,1.0,no
206,201,0.99,no
207,62,0.99,no
208,68,1.0,no
209,52,1.0,no
210,50,1.0,no
211,321,1.0,no
212,79,1.0,no
213,42,1.0,no
214,35,1.0,no
215,125,1.0,no
216,65,1.0,no
217,48,1.0,no
218,89,1.0,no
219,314,1.0,no
220,40,1.0,no
221,64,1.0,no
222,58,1.0,no
223,99,1.0,no
224,73,1.0,no
225,72,1.0,no
226,36,1.0,no
227,51,0.6696666666666666,no
228,36,1.0,no
229,31,0.8658333333333332,no
230,61,0.9166666666666667,no
231,74,0.8,no
232,101,1.0,no
233,86,0.79,no
234,36,1.0,no
235,106,0.75,no
236,93,1.0,no
237,91,0.74,no
238,58,0.6346666666666666,no
239,106,0.7233333333333333,no
240,138,1.0,no
241,83,0.7791666666666667,no
242,53,0.74875,no
243,88,0.7316666666666667,no
244,72,0.92,no
245,241,1.0,no
246,106,1.0,no
247,44,1.0,no
248,158,1.0,no
249,51,1.0,no
250,36,1.0,no
251,226,1.0,no
252,64,1.0,no
253,127,1.0,no
254,67,1.0,no
255,104,1.0,no
256,213,1.0,no
257,35,1.0,no
258,105,1.0,no
259,117,1.0,no
260,63,1.0,no
261,116,0.985,yes
262,29,1.0,yes
263,104,1.0,yes
264,38,0.99,yes
265,44,0.975,yes
266,96,0.9946666666666667,yes
267,42,0.9916666666666667,yes
268,48,0.9455,yes
269,62,0.98,no
270,42,1.0,no
271,99,1.0,no
272,87,1.0,no
273,99,0.995,no
274,102,1.0,no
275,62,1.0,no
276,134,1.0,no
277,64,0.995,no
278,55,0.995,no
279,69,1.0,no
280,43,1.0,no
281,91,0.985,no
282,42,1.0,no
283,63,1.0,no
284,43,1.0,no
285,80,0.9826666666666667,no
286,63,0.98,no
287,85,1.0,no
288,141,0.998,no
289,54,1.0,no
290,35,1.0,no
291,47,1.0,no
292,146,0.7693333333333334,no
293,111,1.0,no
294,28,1.0,no
295,74,1.0,no
296,78,0.7723333333333333,no
297,48,1.0,no
298,41,1.0,no
299,46,1.0,no
300,166,0.7801666666666667,no
301,262,0.763,no
302,256,0.7796666666666667,no
303,28,0.8504642857142858,no
304,44,0.7663333333333334,no
305,28,1.0,no
306,33,0.7560000000000001,no
307,30,0.7835000000000001,no
308,27,0.8198333333333333,no
309,37,0.8300000000000001,no
310,33,0.8345833333333332,no
311,31,0.7603333333333334,no
312,56,0.7693333333333332,no
313,101,0.8306666666666668,no
314,34,1.0,no
315,133,0.8426666666666667,no
316,84,0.8616666666666666,no
317,74,1.0,no
318,95,0.8866666666666667,no
319,60,0.8136666666666666,no
320,35,0.8116666666666666,no
321,26,0.7701666666666667,no
322,68,0.8665,no
323,64,0.7223333333333334,no
324,39,0.7863333333333334,no
325,41,0.845,no
326,159,0.8138333333333333,no
327,66,0.8155,no
328,86,0.7916666666666665,no
329,85,0.986,yes
330,117,0.9629880952380953,yes
331,127,0.9676666666666667,no
332,48,1.0,no
333,101,1.0,no
334,43,1.0,no
335,90,1.0,no
336,239,1.0,no
337,189,1.0,yes
338,30,1.0,no
339,29,1.0,no
340,103,0.9031388888888888,no
341,438,1.0,no
342,156,1.0,no
343,166,0.995,no
344,50,0.839,no
345,89,1.0,no
346,40,0.8118809523809523,no
347,49,1.0,no
348,271,0.7155000000000001,no
349,40,1.0,no
350,171,0.9828650793650793,no
351,40,0.9966666666666667,no
352,32,0.9966666666666667,no
353,271,1.0,no
354,55,1.0,no
355,80,1.0,no
356,28,1.0,no
357,44,1.0,no
358,83,1.0,no
359,67,0.99,no
360,36,1.0,no
361,395,1.0,yes
362,196,0.99,no
363,312,0.995,no
364,125,1.0,no
365,340,0.7498333333333334,yes
366,112,0.8821666666666667,no
367,119,0.6494285714285715,no
368,146,0.746,no
369,35,1.0,no
370,86,0.9686944444444444,no
371,69,0.9792460317460318,no
372,88,0.9869401154401154,no
373,42,0.9833769841269842,no
374,32,0.9733024948907301,no
375,56,0.9766702741702741,no
376,102,0.99,yes
377,56,0.7768333333333334,no
378,89,0.7285,no
379,40,0.7008333333333333,no
380,80,0.7983333333333333,no
381,46,0.97030284992785,no
382,46,0.9871118603618604,no
383,69,0.7977380952380951,no
384,80,0.82,no
385,66,0.79,no
386,100,1.0,no
387,32,1.0,yes
388,31,0.8,no
389,36,0.8,no
390,59,0.74,no
391,44,0.9784166666666667,no
392,29,0.9617579365079365,no
393,60,1.0,no
394,129,1.0,no
395,133,1.0,no
396,333,1.0,no
397,36,1.0,no
398,44,1.0,no
399,848,0.8498333333333333,yes
400,26,1.0,no
401,70,1.0,no
402,213,1.0,no
403,192,0.81,yes
404,555,0.7041666666666667,no
405,46,0.9680591630591631,no
406,31,0.967,no
407,83,0.9615039682539682,no
408,71,0.9682380952380953,no
409,83,0.9782380952380954,no
410,40,0.9925436507936507,no
411,32,0.9733024948907301,no
412,57,0.9824880952380952,no
413,97,1.0,yes
414,64,0.8543809523809522,no
415,94,0.8408333333333332,no
416,45,0.8543928571428572,no
417,98,0.8818333333333334,no
418,46,0.97030284992785,no
419,46,0.9871118603618604,no
420,333,0.7821666666666667,yes
421,143,0.9569761904761904,no
422,81,0.9593333333333334,yes
423,132,0.934142857142857,no
424,159,0.9795,no
425,118,0.9629642857142858,no
426,484,0.7434999999999999,yes
427,303,0.95475,yes
428,49,0.9925833333333334,no
429,32,0.9495714285714285,no
430,103,0.7656666666666666,no
431,106,0.8156111111111112,no
432,83,0.8608333333333333,no
433,111,0.8313333333333334,no
434,42,0.80875,no
435,73,0.8190000000000001,no
436,261,0.7751666666666667,no
437,75,0.9685555555555555,no
438,43,0.9725912698412698,no
439,33,0.9704004329004329,no
440,66,0.9527380952380952,no
441,99,0.7493333333333334,no
