ID, Size, Predicted, Actual
1,78,0.764095238095238,no
2,302,0.9458333333333333,no
3,87,0.4227301587301588,no
4,198,0.29416666666666663,no
5,175,0.84,no
6,65,0.99,no
7,105,0.494797619047619,no
8,58,0.9643333333333334,no
9,196,0.92,no
10,106,0.8508333333333333,no
11,130,0.99,no
12,64,0.7471038961038962,no
13,132,0.9690000000000001,no
14,62,0.9298333333333333,no
15,108,0.2485833333333333,no
16,432,0.9233333333333333,no
17,174,0.7913333333333332,no
18,246,0.903,no
19,106,0.93,no
20,121,0.6365238095238095,no
21,110,1.0,no
22,58,0.97,no
23,37,0.9359999999999999,no
24,77,0.3878015873015873,no
25,142,0.9116666666666667,no
26,114,0.6683333333333333,no
27,80,0.91,no
28,59,0.92,no
29,69,0.6504166666666666,no
30,95,0.9975,no
31,64,0.7380833333333334,no
32,164,0.985,no
33,70,0.93,no
34,32,0.988,no
35,148,0.98,no
36,156,0.912,no
37,119,0.7700277777777778,no
38,116,0.6294523809523809,no
39,93,0.27266666666666667,no
40,256,0.4666666666666666,yes
41,124,0.7921666666666667,no
42,201,0.6674285714285714,no
43,180,0.4488809523809523,no
44,156,0.36933333333333335,no
45,98,0.38916666666666666,no
46,86,0.9433333333333332,no
47,48,1.0,no
48,143,0.9163333333333332,no
49,145,0.18450000000000003,no
50,113,1.0,no
51,260,0.07,no
52,618,0.21111507936507937,no
53,39,0.5330714285714285,no
54,39,1.0,no
55,39,1.0,no
56,24,1.0,no
57,62,1.0,no
58,77,0.5154999999999998,no
59,77,1.0,no
60,54,1.0,no
61,92,0.04,no
62,58,1.0,no
63,24,1.0,no
64,64,1.0,no
65,216,0.26404761904761903,no
66,36,1.0,no
67,36,1.0,no
68,208,0.9933333333333333,no
69,64,0.88,no
70,39,0.35,no
71,47,0.5188333333333334,no
72,74,1.0,no
73,71,0.5514999999999999,no
74,123,0.2373333333333333,no
75,44,0.47330952380952385,no
76,122,0.43349999999999994,no
77,53,0.6447380952380953,no
78,239,0.0,yes
79,44,0.6368809523809523,no
80,171,1.0,no
81,523,0.005,no
82,132,0.0,no
83,178,0.6666666666666666,yes
84,130,0.09647619047619048,no
85,460,0.0033333333333333335,no
86,71,0.0,no
87,392,0.22333333333333336,no
88,225,1.0,no
89,42,1.0,no
90,44,1.0,no
91,94,1.0,no
92,136,0.99,no
93,27,1.0,no
94,47,1.0,no
95,60,1.0,no
96,58,0.815,no
97,56,1.0,no
98,205,0.5746666666666667,no
99,54,0.7033095238095239,yes
100,49,0.14,yes
101,32,0.4861666666666667,yes
102,43,0.27873809523809523,yes
103,111,0.10917857142857143,yes
104,29,0.41,yes
105,49,0.7153333333333333,yes
106,78,0.68,yes
107,45,1.0,no
108,31,1.0,no
109,30,0.2815,no
110,36,0.46666666666666673,yes
111,43,0.09959523809523811,yes
112,47,0.78,no
113,35,0.8526190476190476,no
114,62,0.13,no
115,64,0.16666666666666663,no
116,30,0.27,no
117,154,0.3766666666666667,no
118,53,0.33514285714285713,no
119,45,0.98,no
120,68,0.7304166666666667,no
121,68,0.7304166666666667,no
122,60,0.5548571428571428,no
123,60,0.16050000000000003,no
124,85,0.285,no
125,92,1.0,no
126,156,0.019166666666666665,no
127,98,0.636547619047619,no
128,131,0.01,no
129,194,0.668047619047619,yes
130,201,0.027714285714285712,yes
131,69,0.03541666666666666,yes
132,68,0.27004761904761904,no
133,52,0.5026666666666668,no
134,50,0.6559761904761905,no
135,202,0.199,no
136,73,1.0,no
137,42,1.0,no
138,35,1.0,no
139,125,1.0,no
140,65,0.7304285714285714,no
141,48,0.5129642857142859,no
142,89,1.0,no
143,153,0.5861666666666667,no
144,40,1.0,no
145,64,0.4966666666666668,no
146,99,0.5834999999999999,no
147,73,0.4952142857142857,no
148,72,0.5363333333333334,no
149,51,0.36661904761904773,no
150,36,0.8444761904761904,no
151,31,0.21482142857142855,no
152,61,0.033,no
153,74,0.06,no
154,101,0.08814285714285713,no
155,86,0.368952380952381,no
156,106,0.33209523809523805,no
157,91,0.04783333333333333,no
158,58,0.05,no
159,106,0.07,no
160,143,0.09,no
161,52,0.2673571428571428,no
162,88,0.029285714285714283,no
163,66,0.0,no
164,44,0.5435,no
165,158,0.0675,no
166,51,0.2772142857142857,no
167,36,0.8421428571428571,no
168,63,0.92,no
169,110,0.2827222222222222,yes
170,29,1.0,no
171,104,1.0,no
172,38,0.98,no
173,44,0.985,no
174,96,0.98,no
175,42,0.6745,no
176,48,0.9675,no
177,36,0.03166666666666667,no
178,43,0.5490476190476189,no
179,81,0.07016666666666667,yes
180,75,0.07877380952380952,yes
181,81,0.44506349206349216,yes
182,88,0.41727380952380955,yes
183,42,0.5282857142857144,no
184,82,0.2561904761904762,no
185,55,0.7212261904761904,no
186,48,0.08800000000000001,no
187,72,1.0,no
188,113,0.007095238095238095,no
189,55,0.015,no
190,35,0.4718888888888888,no
191,47,0.08166666666666668,no
192,101,0.0,yes
193,109,1.0,no
194,28,0.5230833333333333,no
195,54,0.29487012987012995,no
196,158,0.0,no
197,52,0.2466269841269842,no
198,53,0.0,no
199,81,0.3324713064713064,no
200,83,0.031,yes
201,63,0.1853446275946276,yes
202,48,0.085,no
203,55,0.16252380952380954,no
204,149,0.0,no
205,263,0.0,no
206,179,0.2509920634920635,no
207,37,0.257015873015873,no
208,25,0.2261904761904762,no
209,30,0.0,no
210,36,0.005,no
211,30,0.021666666666666664,no
212,27,0.0,no
213,37,0.24707539682539686,no
214,33,0.5102750582750585,no
215,31,0.01,no
216,56,0.2215515873015873,no
217,101,0.2585119047619047,no
218,139,0.2672261904761905,no
219,85,0.41242857142857153,no
220,95,0.01,no
221,60,0.20479437229437222,no
222,35,0.01,no
223,26,0.005833333333333333,no
224,69,0.16155158730158728,no
225,64,0.236015873015873,no
226,39,0.002,no
227,41,0.2304761904761904,no
228,167,0.01,no
229,66,0.015,no
230,93,0.027000000000000003,no
231,86,0.6506428571428572,no
232,117,0.027500000000000004,no
233,90,0.0014285714285714286,no
234,48,0.1075,no
235,85,0.945,no
236,43,0.17863203463203461,no
237,90,0.5511666666666667,no
238,202,0.9358333333333333,no
239,141,0.94,no
240,30,1.0,no
241,29,1.0,no
242,67,0.0725,no
243,242,0.5238333333333334,no
244,72,0.5874126984126984,no
245,50,0.3073650793650793,no
246,89,0.5641666666666666,no
247,40,0.035333333333333335,no
248,49,0.47625000000000006,no
249,249,0.0,no
250,40,0.1025,no
251,171,0.01619047619047619,no
252,40,0.034,no
253,32,0.1085,no
254,271,1.0,no
255,55,1.0,no
256,80,0.9721666666666667,no
257,28,0.847,no
258,44,0.81,no
259,83,0.966,no
260,67,0.486,no
261,36,0.9341666666666667,no
262,384,0.26,no
263,196,0.5495000000000001,no
264,312,0.3075,no
265,120,0.5160952380952382,yes
266,315,0.1562121212121212,no
267,112,0.0,no
268,119,0.266819264069264,no
269,146,0.005,no
270,86,0.3683809523809523,no
271,69,0.04033333333333333,no
272,88,0.35138095238095235,no
273,42,0.29711904761904767,no
274,32,0.0,no
275,56,0.3085,no
276,102,0.9667857142857144,no
277,56,0.16535179526355992,no
278,89,0.26009762459762453,no
279,40,0.0,no
280,80,0.003611111111111111,no
281,46,0.3186269841269841,no
282,46,0.0,no
283,68,0.049,no
284,80,0.06,no
