ID, Size, Predicted, Actual
1,78,0.4053149350649351,no
2,87,0.7315515873015873,no
3,198,0.9975,no
4,175,1.0,no
5,68,0.7210079365079366,no
6,105,1.0,no
7,58,0.7741821789321789,no
8,196,0.7514880952380953,no
9,101,0.95,yes
10,130,0.97,yes
11,64,0.6631061471208531,no
12,132,0.99,yes
13,185,0.9946666666666667,no
14,432,1.0,no
15,174,0.956,no
16,246,0.7392207792207792,no
17,107,0.7031666666666667,no
18,121,1.0,no
19,110,0.16015945165945164,no
20,58,0.7764563492063491,no
21,37,0.6240540203260793,no
22,77,0.4195000000000001,no
23,142,0.1892550505050505,no
24,114,0.7370079365079366,no
25,59,0.7541904761904763,no
26,64,0.6631061471208531,no
27,164,0.759468253968254,no
28,70,0.7147489177489178,no
29,32,0.7482103174603176,no
30,148,0.7923214285714286,no
31,156,0.6574416000666001,no
32,119,0.7769841269841271,no
33,118,0.710511904761905,no
34,229,1.0,no
35,156,0.6574416000666001,no
36,85,0.7416865079365079,no
37,48,1.0,no
38,264,0.98,yes
39,615,1.0,yes
40,39,1.0,yes
41,39,1.0,no
42,39,1.0,no
43,24,1.0,no
44,62,1.0,no
45,77,0.99,yes
46,77,0.99,no
47,54,1.0,no
48,92,0.985,yes
49,58,1.0,no
50,24,1.0,no
51,64,1.0,no
52,216,0.996,yes
53,36,1.0,no
54,36,1.0,no
55,208,1.0,no
56,39,0.9957142857142857,yes
57,47,0.9975,yes
58,74,1.0,no
59,71,0.995,yes
60,56,1.0,yes
61,44,0.9866666666666667,yes
62,55,0.99,yes
63,46,1.0,no
64,65,1.0,no
65,37,0.9039393939393939,yes
66,100,0.5243333333333333,yes
67,128,0.995,no
68,471,0.97,yes
69,131,1.0,no
70,127,0.99,yes
71,112,1.0,no
72,221,1.0,no
73,36,1.0,no
74,44,1.0,no
75,130,0.992,no
76,42,0.99,no
77,60,1.0,no
78,37,0.9566666666666667,yes
79,49,0.9633333333333333,yes
80,30,0.945,yes
81,39,0.975,yes
82,80,0.93,yes
83,29,0.99,no
84,36,0.9671428571428571,no
85,60,0.99,yes
86,85,0.9690000000000001,yes
87,92,1.0,no
88,199,0.99,yes
89,98,0.985,yes
90,133,0.962857142857143,yes
91,194,0.99,yes
92,201,0.98,yes
93,69,1.0,yes
94,68,1.0,yes
95,52,1.0,yes
96,50,1.0,yes
97,202,0.9486666666666667,yes
98,73,1.0,no
99,42,0.995,no
100,35,1.0,no
101,123,0.99,no
102,65,0.99,no
103,48,1.0,no
104,89,0.99,no
105,153,0.9866666666666667,no
106,40,1.0,no
107,64,1.0,yes
108,99,1.0,yes
109,73,0.98,yes
110,72,1.0,yes
111,57,1.0,no
112,36,1.0,no
113,31,0.9913333333333334,yes
114,86,0.9740000000000001,yes
115,39,1.0,no
116,74,1.0,no
117,101,0.9624444444444444,yes
118,51,1.0,no
119,107,1.0,no
120,153,1.0,no
121,118,1.0,no
122,68,0.975,yes
123,36,0.9890000000000001,yes
124,43,0.99,yes
125,81,0.97,yes
126,75,0.99,yes
127,81,0.965,yes
128,88,1.0,yes
129,42,0.985,yes
130,82,0.97,no
131,55,0.99,yes
132,48,0.9933333333333333,no
133,72,1.0,no
134,113,1.0,yes
135,55,0.98,yes
136,35,0.965,yes
137,47,1.0,yes
138,101,0.4551666666666666,yes
139,109,1.0,no
140,28,0.9566666666666667,yes
141,54,0.6966547619047619,no
142,158,0.6968690476190476,yes
143,52,0.5938214285714286,yes
144,53,0.6807402597402599,yes
145,81,0.7059761904761905,yes
146,83,0.6370238095238094,yes
147,63,0.6542142857142856,yes
148,48,0.6678809523809525,no
149,55,0.5805833333333333,yes
150,149,0.4501428571428572,yes
151,263,0.5388333333333334,yes
152,179,0.4898690476190477,no
153,37,0.6641507936507937,no
154,25,0.515452380952381,no
155,30,0.6230000000000001,yes
156,36,0.5873333333333334,no
157,30,0.5451666666666667,no
158,27,0.5891904761904763,no
159,37,0.5097619047619047,no
160,33,0.5121666666666667,no
161,31,0.5732857142857142,no
162,56,0.5387142857142856,no
163,101,0.6854404761904762,no
164,139,0.6517857142857143,no
165,85,0.5211666666666667,no
166,95,0.5688333333333333,no
167,60,0.5295833333333334,yes
168,35,0.5346190476190477,no
169,26,0.6460714285714285,no
170,69,0.6656309523809523,yes
171,64,0.5774999999999999,yes
172,39,0.5048333333333335,yes
173,41,0.5411666666666666,no
174,167,0.5368571428571428,yes
175,66,0.5408333333333333,yes
176,93,0.5691666666666667,no
177,78,1.0,yes
178,134,0.4,yes
179,83,0.72,yes
180,48,0.98,yes
181,85,0.97,no
182,43,0.99,yes
183,90,1.0,yes
184,202,1.0,no
185,135,0.98,no
186,30,1.0,no
187,29,1.0,no
188,67,0.98,no
189,242,0.9884999999999999,yes
190,64,0.99,yes
191,50,0.99,no
192,89,1.0,yes
193,40,0.9757142857142856,no
194,49,1.0,yes
195,249,0.94,yes
196,40,1.0,yes
197,171,0.5585,yes
198,40,1.0,yes
199,32,0.96,yes
200,384,1.0,yes
201,196,1.0,yes
202,312,1.0,yes
