ID, Name, Date
1,0.9.0.1,2013-12-06T23:59:59
2,0.9.1-incubating,2014-02-10T23:59:59
3,0.9.2-incubating,2014-06-25T23:59:59
4,0.9.3,2014-11-25T23:59:59
5,0.9.4,2015-03-25T23:59:59
6,0.9.5,2015-06-04T23:59:59
7,0.10.0,2015-11-05T23:59:59
8,0.9.6,2015-11-05T23:59:59
9,1.0.0,2016-04-12T23:59:59
10,0.10.1,2016-05-05T23:59:59
11,1.0.1,2016-05-06T23:59:59
12,1.0.2,2016-08-10T23:59:59
13,0.9.7,2016-09-07T23:59:59
14,0.10.2,2016-09-14T23:59:59
15,1.0.3,2017-02-14T23:59:59
16,1.1.0,2017-03-29T23:59:59
17,1.0.4,2017-07-28T23:59:59
18,1.1.1,2017-08-01T23:59:59
19,1.0.5,2017-09-15T23:59:59
20,1.0.6,2018-02-14T23:59:59
21,1.2.0,2018-02-15T23:59:59
22,1.1.2,2018-02-15T23:59:59
23,1.2.1,2018-02-15T23:59:59
24,1.1.3,2018-06-04T23:59:59
25,1.2.2,2018-06-04T23:59:59
26,2.0.0,2019-05-30T23:59:59
27,1.2.3,2019-07-19T23:59:59
28,2.1.0,2019-10-31T23:59:59
29,2.2.0,2020-06-30T23:59:59
30,2.3.0,2021-09-27T23:59:59
31,1.2.4,2021-10-11T23:59:59
32,2.2.1,2021-10-11T23:59:59
33,2.1.1,2021-10-14T23:59:59
34,2.4.0,2022-03-25T23:59:59
35,2.5.0,2023-08-04T23:59:59
36,2.6.0,2023-11-16T23:59:59
37,2.6.1,2024-02-02T23:59:59
38,2.6.2,2024-04-05T23:59:59
