@relation 'STORM_trainingSet_8-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute ' Size' numeric
@attribute ' LOC Touched' numeric
@attribute ' NR' numeric
@attribute ' NFix' numeric
@attribute ' NAuth' numeric
@attribute ' LOC Added' numeric
@attribute ' Max LOC Added' numeric
@attribute ' Average LOC Added' numeric
@attribute ' Churn' numeric
@attribute ' Max Churn' numeric
@attribute ' Average Churn' numeric
@attribute ' Bugginess' {yes,no}

@data
958,24944,372,46,53,19584,1063,52.645161,14224,817,38.236559,yes
89,3561,74,9,29,3207,139,43.337838,2853,120,38.554054,yes
18,158,19,1,10,146,18,7.684211,134,18,7.052632,yes
30,182,19,1,10,182,30,9.578947,182,30,9.578947,yes
10,98,7,0,4,98,17,14,98,17,14,no
152,5389,93,7,31,4364,154,46.924731,3339,152,35.903226,yes
102,374,7,0,4,374,102,53.428571,374,102,53.428571,no
136,476,7,0,4,476,136,68,476,136,68,no
34,174,9,0,4,172,34,19.111111,170,34,18.888889,no
34,174,9,0,4,172,34,19.111111,170,34,18.888889,no
91,403,24,0,16,372,91,15.5,341,91,14.208333,no
29,155,7,0,4,155,29,22.142857,155,29,22.142857,no
36,176,7,0,4,176,36,25.142857,176,36,25.142857,no
419,1499,31,0,18,1467,419,47.322581,1435,419,46.290323,no
365,1289,19,0,15,1226,365,64.526316,1163,365,61.210526,no
13,107,7,0,4,107,17,15.285714,107,17,15.285714,no
5,83,7,0,4,83,17,11.857143,83,17,11.857143,no
74,1517,39,2,19,1032,74,26.461538,547,74,14.025641,yes
152,2080,52,4,24,1840,152,35.384615,1600,152,30.769231,yes
58,306,15,0,12,274,58,18.266667,242,58,16.133333,no
76,296,7,0,4,296,76,42.285714,296,76,42.285714,no
32,214,17,0,8,204,32,12,194,32,11.411765,no
366,1393,31,0,18,1329,366,42.870968,1265,366,40.806452,no
42,194,7,0,4,194,42,27.714286,194,42,27.714286,no
78,810,32,2,15,730,78,22.8125,650,78,20.3125,yes
327,2829,42,2,21,2246,328,53.47619,1663,328,39.595238,yes
426,3583,39,2,20,2816,427,72.205128,2049,427,52.538462,yes
1110,20681,53,2,24,13351,1111,251.90566,6021,1111,113.603774,yes
597,10913,60,4,26,7600,598,126.666667,4287,598,71.45,yes
706,6919,39,2,20,5194,707,133.179487,3469,707,88.948718,yes
385,2363,28,2,16,2093,385,74.75,1823,385,65.107143,yes
327,2780,39,2,20,2221,328,56.948718,1662,328,42.615385,yes
424,3487,39,2,20,2740,425,70.25641,1993,425,51.102564,yes
964,10344,51,3,22,8485,964,166.372549,6626,964,129.921569,yes
2015,23917,51,3,22,19844,2015,389.098039,15771,2015,309.235294,yes
424,5985,46,3,22,4748,425,103.217391,3511,425,76.326087,yes
419,3634,39,2,20,2791,420,71.564103,1948,420,49.948718,yes
318,1982,28,2,16,1762,318,62.928571,1542,318,55.071429,yes
678,11480,59,2,24,7739,679,131.169492,3998,679,67.762712,yes
807,6744,39,2,20,5103,808,130.846154,3462,808,88.769231,yes
424,3487,39,2,20,2740,425,70.25641,1993,425,51.102564,yes
662,4148,28,2,16,3706,662,132.357143,3264,662,116.571429,yes
327,2780,39,2,20,2221,328,56.948718,1662,328,42.615385,yes
462,4165,39,2,20,3216,463,82.461538,2267,463,58.128205,yes
532,3120,28,2,16,2802,532,100.071429,2484,532,88.714286,yes
319,3034,39,2,20,2381,320,61.051282,1728,320,44.307692,yes
13491,315576,95,6,30,285698,22721,3007.347368,255820,22719,2692.842105,yes
