Release ID, Filepath, Size, LOC Touched, NR, NFix, NAuth, LOC Added, Max LOC Added, Average LOC Added, Churn, Max Churn, Average Churn, Bugginess
1,storm-core/src/jvm/backtype/storm/Config.java,958,24944,372,46,53,19584,1063,52.645161290322584,14224,817,38.236559139784944,yes
1,storm-core/src/jvm/backtype/storm/ConfigValidation.java,89,3561,74,9,29,3207,139,43.33783783783784,2853,120,38.554054054054056,yes
1,storm-core/src/jvm/backtype/storm/Constants.java,18,158,19,1,10,146,18,7.684210526315789,134,18,7.052631578947368,no
1,storm-core/src/jvm/backtype/storm/ILocalCluster.java,30,182,19,1,10,182,30,9.578947368421053,182,30,9.578947368421053,no
1,storm-core/src/jvm/backtype/storm/ILocalDRPC.java,10,98,7,0,4,98,17,14.0,98,17,14.0,no
1,storm-core/src/jvm/backtype/storm/StormSubmitter.java,152,5389,93,7,31,4364,154,46.924731182795696,3339,152,35.903225806451616,no
1,storm-core/src/jvm/backtype/storm/clojure/ClojureBolt.java,102,374,7,0,4,374,102,53.42857142857143,374,102,53.42857142857143,no
1,storm-core/src/jvm/backtype/storm/clojure/ClojureSpout.java,136,476,7,0,4,476,136,68.0,476,136,68.0,no
1,storm-core/src/jvm/backtype/storm/clojure/RichShellBolt.java,34,174,9,0,4,172,34,19.11111111111111,170,34,18.88888888888889,no
1,storm-core/src/jvm/backtype/storm/clojure/RichShellSpout.java,34,174,9,0,4,172,34,19.11111111111111,170,34,18.88888888888889,no
1,storm-core/src/jvm/backtype/storm/coordination/BatchBoltExecutor.java,91,403,24,0,16,372,91,15.5,341,91,14.208333333333334,no
1,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollector.java,29,155,7,0,4,155,29,22.142857142857142,155,29,22.142857142857142,no
1,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollectorImpl.java,36,176,7,0,4,176,36,25.142857142857142,176,36,25.142857142857142,no
1,storm-core/src/jvm/backtype/storm/coordination/BatchSubtopologyBuilder.java,419,1499,31,0,18,1467,419,47.32258064516129,1435,419,46.29032258064516,no
1,storm-core/src/jvm/backtype/storm/coordination/CoordinatedBolt.java,365,1289,19,0,15,1226,365,64.52631578947368,1163,365,61.21052631578947,no
1,storm-core/src/jvm/backtype/storm/coordination/IBatchBolt.java,13,107,7,0,4,107,17,15.285714285714286,107,17,15.285714285714286,no
1,storm-core/src/jvm/backtype/storm/daemon/Shutdownable.java,5,83,7,0,4,83,17,11.857142857142858,83,17,11.857142857142858,no
1,storm-core/src/jvm/backtype/storm/drpc/DRPCInvocationsClient.java,74,1517,39,2,19,1032,74,26.46153846153846,547,74,14.025641025641026,no
1,storm-core/src/jvm/backtype/storm/drpc/DRPCSpout.java,152,2080,52,4,24,1840,152,35.38461538461539,1600,152,30.76923076923077,no
1,storm-core/src/jvm/backtype/storm/drpc/JoinResult.java,58,306,15,0,12,274,58,18.266666666666666,242,58,16.133333333333333,no
1,storm-core/src/jvm/backtype/storm/drpc/KeyedFairBolt.java,76,296,7,0,4,296,76,42.285714285714285,296,76,42.285714285714285,no
1,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCInputDeclarer.java,32,214,17,0,8,204,32,12.0,194,32,11.411764705882353,no
1,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCTopologyBuilder.java,366,1393,31,0,18,1329,366,42.87096774193548,1265,366,40.806451612903224,no
1,storm-core/src/jvm/backtype/storm/drpc/PrepareRequest.java,42,194,7,0,4,194,42,27.714285714285715,194,42,27.714285714285715,no
1,storm-core/src/jvm/backtype/storm/drpc/ReturnResults.java,78,810,32,2,15,730,78,22.8125,650,78,20.3125,no
1,storm-core/src/jvm/backtype/storm/generated/AlreadyAliveException.java,327,2829,42,2,21,2246,328,53.476190476190474,1663,328,39.595238095238095,no
1,storm-core/src/jvm/backtype/storm/generated/Bolt.java,426,3583,39,2,20,2816,427,72.2051282051282,2049,427,52.53846153846154,no
1,storm-core/src/jvm/backtype/storm/generated/BoltStats.java,1110,20681,53,2,24,13351,1111,251.9056603773585,6021,1111,113.60377358490567,no
1,storm-core/src/jvm/backtype/storm/generated/ClusterSummary.java,597,10913,60,4,26,7600,598,126.66666666666667,4287,598,71.45,no
1,storm-core/src/jvm/backtype/storm/generated/ComponentCommon.java,706,6919,39,2,20,5194,707,133.17948717948718,3469,707,88.94871794871794,no
